Timestep,Region,n2oem
USA,2175,1.51
2175,USA,1.51
USA,2176,1.51
2176,USA,1.51
USA,2177,1.51
2177,USA,1.51
USA,2178,1.52
2178,USA,1.52
USA,2179,1.52
2179,USA,1.52
USA,2180,1.52
2180,USA,1.52
USA,2181,1.52
2181,USA,1.52
USA,2182,1.52
2182,USA,1.52
USA,2183,1.52
2183,USA,1.52
USA,2184,1.52
2184,USA,1.52
USA,2185,1.52
2185,USA,1.52
USA,2186,1.52
2186,USA,1.52
USA,2187,1.52
2187,USA,1.52
USA,2188,1.52
2188,USA,1.52
USA,2189,1.52
2189,USA,1.52
USA,2190,1.53
2190,USA,1.53
USA,2191,1.53
2191,USA,1.53
USA,2192,1.53
2192,USA,1.53
USA,2193,1.53
2193,USA,1.53
USA,2194,1.53
2194,USA,1.53
USA,2195,1.53
2195,USA,1.53
USA,2196,1.53
2196,USA,1.53
USA,2197,1.53
2197,USA,1.53
USA,2198,1.53
2198,USA,1.53
USA,2199,1.53
2199,USA,1.53
USA,2200,1.53
2200,USA,1.53
USA,2201,1.53
2201,USA,1.53
USA,2202,1.53
2202,USA,1.53
USA,2203,1.53
2203,USA,1.53
USA,2204,1.53
2204,USA,1.53
USA,2205,1.53
2205,USA,1.53
USA,2206,1.54
2206,USA,1.54
USA,2207,1.54
2207,USA,1.54
USA,2208,1.54
2208,USA,1.54
USA,2209,1.54
2209,USA,1.54
USA,2210,1.54
2210,USA,1.54
USA,2211,1.54
2211,USA,1.54
USA,2212,1.54
2212,USA,1.54
USA,2213,1.54
2213,USA,1.54
USA,2214,1.54
2214,USA,1.54
USA,2215,1.54
2215,USA,1.54
USA,2216,1.54
2216,USA,1.54
USA,2217,1.54
2217,USA,1.54
USA,2218,1.55
2218,USA,1.55
USA,2219,1.55
2219,USA,1.55
USA,2220,1.55
2220,USA,1.55
USA,2221,1.55
2221,USA,1.55
USA,2222,1.55
2222,USA,1.55
USA,2223,1.55
2223,USA,1.55
USA,2224,1.55
2224,USA,1.55
USA,2225,1.55
2225,USA,1.55
USA,2226,1.55
2226,USA,1.55
USA,2227,1.55
2227,USA,1.55
USA,2228,1.55
2228,USA,1.55
USA,2229,1.55
2229,USA,1.55
USA,2230,1.56
2230,USA,1.56
USA,2231,1.56
2231,USA,1.56
USA,2232,1.56
2232,USA,1.56
USA,2233,1.56
2233,USA,1.56
USA,2234,1.56
2234,USA,1.56
USA,2235,1.56
2235,USA,1.56
USA,2236,1.56
2236,USA,1.56
USA,2237,1.56
2237,USA,1.56
USA,2238,1.56
2238,USA,1.56
USA,2239,1.56
2239,USA,1.56
USA,2240,1.56
2240,USA,1.56
USA,2241,1.56
2241,USA,1.56
USA,2242,1.57
2242,USA,1.57
USA,2243,1.57
2243,USA,1.57
USA,2244,1.57
2244,USA,1.57
USA,2245,1.57
2245,USA,1.57
USA,2246,1.57
2246,USA,1.57
USA,2247,1.57
2247,USA,1.57
USA,2248,1.57
2248,USA,1.57
USA,2249,1.57
2249,USA,1.57
USA,2250,1.57
2250,USA,1.57
USA,2251,1.57
2251,USA,1.57
USA,2252,1.57
2252,USA,1.57
USA,2253,1.57
2253,USA,1.57
USA,2254,1.58
2254,USA,1.58
USA,2255,1.58
2255,USA,1.58
USA,2256,1.58
2256,USA,1.58
USA,2257,1.58
2257,USA,1.58
USA,2258,1.58
2258,USA,1.58
USA,2259,1.58
2259,USA,1.58
USA,2260,1.58
2260,USA,1.58
USA,2261,1.58
2261,USA,1.58
USA,2262,1.58
2262,USA,1.58
USA,2263,1.58
2263,USA,1.58
USA,2264,1.58
2264,USA,1.58
USA,2265,1.58
2265,USA,1.58
USA,2266,1.59
2266,USA,1.59
USA,2267,1.59
2267,USA,1.59
USA,2268,1.59
2268,USA,1.59
USA,2269,1.59
2269,USA,1.59
USA,2270,1.59
2270,USA,1.59
USA,2271,1.59
2271,USA,1.59
USA,2272,1.59
2272,USA,1.59
USA,2273,1.59
2273,USA,1.59
USA,2274,1.59
2274,USA,1.59
USA,2275,1.59
2275,USA,1.59
USA,2276,1.59
2276,USA,1.59
USA,2277,1.59
2277,USA,1.59
USA,2278,1.6
2278,USA,1.6
USA,2279,1.6
2279,USA,1.6
USA,2280,1.6
2280,USA,1.6
USA,2281,1.6
2281,USA,1.6
USA,2282,1.6
2282,USA,1.6
USA,2283,1.6
2283,USA,1.6
USA,2284,1.6
2284,USA,1.6
USA,2285,1.6
2285,USA,1.6
USA,2286,1.6
2286,USA,1.6
USA,2287,1.6
2287,USA,1.6
USA,2288,1.6
2288,USA,1.6
USA,2289,1.61
2289,USA,1.61
USA,2290,1.61
2290,USA,1.61
USA,2291,1.61
2291,USA,1.61
USA,2292,1.61
2292,USA,1.61
USA,2293,1.61
2293,USA,1.61
USA,2294,1.61
2294,USA,1.61
USA,2295,1.61
2295,USA,1.61
USA,2296,1.61
2296,USA,1.61
USA,2297,1.61
2297,USA,1.61
USA,2298,1.61
2298,USA,1.61
USA,2299,1.61
2299,USA,1.61
USA,2300,1.61
2300,USA,1.61
USA,2301,1.61
2301,USA,1.61
USA,2302,1.61
2302,USA,1.61
USA,2303,1.61
2303,USA,1.61
USA,2304,1.61
2304,USA,1.61
USA,2305,1.61
2305,USA,1.61
USA,2306,1.61
2306,USA,1.61
USA,2307,1.61
2307,USA,1.61
USA,2308,1.61
2308,USA,1.61
USA,2309,1.61
2309,USA,1.61
USA,2310,1.61
2310,USA,1.61
USA,2311,1.61
2311,USA,1.61
USA,2312,1.61
2312,USA,1.61
USA,2313,1.61
2313,USA,1.61
USA,2314,1.61
2314,USA,1.61
USA,2315,1.61
2315,USA,1.61
USA,2316,1.61
2316,USA,1.61
USA,2317,1.61
2317,USA,1.61
USA,2318,1.61
2318,USA,1.61
USA,2319,1.61
2319,USA,1.61
USA,2320,1.61
2320,USA,1.61
USA,2321,1.61
2321,USA,1.61
USA,2322,1.61
2322,USA,1.61
USA,2323,1.61
2323,USA,1.61
USA,2324,1.61
2324,USA,1.61
USA,2325,1.61
2325,USA,1.61
USA,2326,1.61
2326,USA,1.61
USA,2327,1.61
2327,USA,1.61
USA,2328,1.61
2328,USA,1.61
USA,2329,1.61
2329,USA,1.61
USA,2330,1.61
2330,USA,1.61
USA,2331,1.61
2331,USA,1.61
USA,2332,1.61
2332,USA,1.61
USA,2333,1.61
2333,USA,1.61
USA,2334,1.61
2334,USA,1.61
USA,2335,1.61
2335,USA,1.61
USA,2336,1.61
2336,USA,1.61
USA,2337,1.61
2337,USA,1.61
USA,2338,1.61
2338,USA,1.61
USA,2339,1.61
2339,USA,1.61
USA,2340,1.61
2340,USA,1.61
USA,2341,1.61
2341,USA,1.61
USA,2342,1.61
2342,USA,1.61
USA,2343,1.61
2343,USA,1.61
USA,2344,1.61
2344,USA,1.61
USA,2345,1.61
2345,USA,1.61
USA,2346,1.61
2346,USA,1.61
USA,2347,1.61
2347,USA,1.61
USA,2348,1.61
2348,USA,1.61
USA,2349,1.61
2349,USA,1.61
USA,2350,1.61
2350,USA,1.61
USA,2351,1.61
2351,USA,1.61
USA,2352,1.61
2352,USA,1.61
USA,2353,1.61
2353,USA,1.61
USA,2354,1.61
2354,USA,1.61
USA,2355,1.61
2355,USA,1.61
USA,2356,1.61
2356,USA,1.61
USA,2357,1.61
2357,USA,1.61
USA,2358,1.61
2358,USA,1.61
USA,2359,1.61
2359,USA,1.61
USA,2360,1.61
2360,USA,1.61
USA,2361,1.61
2361,USA,1.61
USA,2362,1.61
2362,USA,1.61
USA,2363,1.61
2363,USA,1.61
USA,2364,1.61
2364,USA,1.61
USA,2365,1.61
2365,USA,1.61
USA,2366,1.61
2366,USA,1.61
USA,2367,1.61
2367,USA,1.61
USA,2368,1.61
2368,USA,1.61
USA,2369,1.61
2369,USA,1.61
USA,2370,1.61
2370,USA,1.61
USA,2371,1.61
2371,USA,1.61
USA,2372,1.61
2372,USA,1.61
USA,2373,1.61
2373,USA,1.61
USA,2374,1.61
2374,USA,1.61
USA,2375,1.61
2375,USA,1.61
USA,2376,1.61
2376,USA,1.61
USA,2377,1.61
2377,USA,1.61
USA,2378,1.61
2378,USA,1.61
USA,2379,1.61
2379,USA,1.61
USA,2380,1.61
2380,USA,1.61
USA,2381,1.61
2381,USA,1.61
USA,2382,1.61
2382,USA,1.61
USA,2383,1.61
2383,USA,1.61
USA,2384,1.61
2384,USA,1.61
USA,2385,1.61
2385,USA,1.61
USA,2386,1.61
2386,USA,1.61
USA,2387,1.61
2387,USA,1.61
USA,2388,1.61
2388,USA,1.61
USA,2389,1.61
2389,USA,1.61
USA,2390,1.61
2390,USA,1.61
USA,2391,1.61
2391,USA,1.61
USA,2392,1.61
2392,USA,1.61
USA,2393,1.61
2393,USA,1.61
USA,2394,1.61
2394,USA,1.61
USA,2395,1.61
2395,USA,1.61
USA,2396,1.61
2396,USA,1.61
USA,2397,1.61
2397,USA,1.61
USA,2398,1.61
2398,USA,1.61
USA,2399,1.61
2399,USA,1.61
USA,2400,1.61
2400,USA,1.61
USA,2401,1.61
2401,USA,1.61
USA,2402,1.61
2402,USA,1.61
USA,2403,1.61
2403,USA,1.61
USA,2404,1.61
2404,USA,1.61
USA,2405,1.61
2405,USA,1.61
USA,2406,1.61
2406,USA,1.61
USA,2407,1.61
2407,USA,1.61
USA,2408,1.61
2408,USA,1.61
USA,2409,1.61
2409,USA,1.61
USA,2410,1.61
2410,USA,1.61
USA,2411,1.61
