Timestep,Region,n2oem
FSU,2359,0.34
2359,FSU,0.34
FSU,2360,0.34
2360,FSU,0.34
FSU,2361,0.34
2361,FSU,0.34
FSU,2362,0.34
2362,FSU,0.34
FSU,2363,0.34
2363,FSU,0.34
FSU,2364,0.34
2364,FSU,0.34
FSU,2365,0.34
2365,FSU,0.34
FSU,2366,0.34
2366,FSU,0.34
FSU,2367,0.34
2367,FSU,0.34
FSU,2368,0.34
2368,FSU,0.34
FSU,2369,0.34
2369,FSU,0.34
FSU,2370,0.34
2370,FSU,0.34
FSU,2371,0.34
2371,FSU,0.34
FSU,2372,0.34
2372,FSU,0.34
FSU,2373,0.34
2373,FSU,0.34
FSU,2374,0.34
2374,FSU,0.34
FSU,2375,0.34
2375,FSU,0.34
FSU,2376,0.34
2376,FSU,0.34
FSU,2377,0.34
2377,FSU,0.34
FSU,2378,0.34
2378,FSU,0.34
FSU,2379,0.34
2379,FSU,0.34
FSU,2380,0.34
2380,FSU,0.34
FSU,2381,0.34
2381,FSU,0.34
FSU,2382,0.34
2382,FSU,0.34
FSU,2383,0.34
2383,FSU,0.34
FSU,2384,0.34
2384,FSU,0.34
FSU,2385,0.34
2385,FSU,0.34
FSU,2386,0.34
2386,FSU,0.34
FSU,2387,0.34
2387,FSU,0.34
FSU,2388,0.34
2388,FSU,0.34
FSU,2389,0.34
2389,FSU,0.34
FSU,2390,0.34
2390,FSU,0.34
FSU,2391,0.34
2391,FSU,0.34
FSU,2392,0.34
2392,FSU,0.34
FSU,2393,0.34
2393,FSU,0.34
FSU,2394,0.34
2394,FSU,0.34
FSU,2395,0.34
2395,FSU,0.34
FSU,2396,0.34
2396,FSU,0.34
FSU,2397,0.34
2397,FSU,0.34
FSU,2398,0.34
2398,FSU,0.34
FSU,2399,0.34
2399,FSU,0.34
FSU,2400,0.34
2400,FSU,0.34
FSU,2401,0.34
2401,FSU,0.34
FSU,2402,0.34
2402,FSU,0.34
FSU,2403,0.34
2403,FSU,0.34
FSU,2404,0.34
2404,FSU,0.34
FSU,2405,0.34
2405,FSU,0.34
FSU,2406,0.34
2406,FSU,0.34
FSU,2407,0.34
2407,FSU,0.34
FSU,2408,0.34
2408,FSU,0.34
FSU,2409,0.34
2409,FSU,0.34
FSU,2410,0.34
2410,FSU,0.34
FSU,2411,0.34
2411,FSU,0.34
FSU,2412,0.34
2412,FSU,0.34
FSU,2413,0.34
2413,FSU,0.34
FSU,2414,0.34
2414,FSU,0.34
FSU,2415,0.34
2415,FSU,0.34
FSU,2416,0.34
2416,FSU,0.34
FSU,2417,0.34
2417,FSU,0.34
FSU,2418,0.34
2418,FSU,0.34
FSU,2419,0.34
2419,FSU,0.34
FSU,2420,0.34
2420,FSU,0.34
FSU,2421,0.34
2421,FSU,0.34
FSU,2422,0.34
2422,FSU,0.34
FSU,2423,0.34
2423,FSU,0.34
FSU,2424,0.34
2424,FSU,0.34
FSU,2425,0.34
2425,FSU,0.34
FSU,2426,0.34
2426,FSU,0.34
FSU,2427,0.34
2427,FSU,0.34
FSU,2428,0.34
2428,FSU,0.34
FSU,2429,0.34
2429,FSU,0.34
FSU,2430,0.34
2430,FSU,0.34
FSU,2431,0.34
2431,FSU,0.34
FSU,2432,0.34
2432,FSU,0.34
FSU,2433,0.34
2433,FSU,0.34
FSU,2434,0.34
2434,FSU,0.34
FSU,2435,0.34
2435,FSU,0.34
FSU,2436,0.34
2436,FSU,0.34
FSU,2437,0.34
2437,FSU,0.34
FSU,2438,0.34
2438,FSU,0.34
FSU,2439,0.34
2439,FSU,0.34
FSU,2440,0.34
2440,FSU,0.34
FSU,2441,0.34
2441,FSU,0.34
FSU,2442,0.34
2442,FSU,0.34
FSU,2443,0.34
2443,FSU,0.34
FSU,2444,0.34
2444,FSU,0.34
FSU,2445,0.34
2445,FSU,0.34
FSU,2446,0.34
2446,FSU,0.34
FSU,2447,0.34
2447,FSU,0.34
FSU,2448,0.34
2448,FSU,0.34
FSU,2449,0.34
2449,FSU,0.34
FSU,2450,0.34
2450,FSU,0.34
FSU,2451,0.34
2451,FSU,0.34
FSU,2452,0.34
2452,FSU,0.34
FSU,2453,0.34
2453,FSU,0.34
FSU,2454,0.34
2454,FSU,0.34
FSU,2455,0.34
2455,FSU,0.34
FSU,2456,0.34
2456,FSU,0.34
FSU,2457,0.34
2457,FSU,0.34
FSU,2458,0.34
2458,FSU,0.34
FSU,2459,0.34
2459,FSU,0.34
FSU,2460,0.34
2460,FSU,0.34
FSU,2461,0.34
2461,FSU,0.34
FSU,2462,0.34
2462,FSU,0.34
FSU,2463,0.34
2463,FSU,0.34
FSU,2464,0.34
2464,FSU,0.34
FSU,2465,0.34
2465,FSU,0.34
FSU,2466,0.34
2466,FSU,0.34
FSU,2467,0.34
2467,FSU,0.34
FSU,2468,0.34
2468,FSU,0.34
FSU,2469,0.34
2469,FSU,0.34
FSU,2470,0.34
2470,FSU,0.34
FSU,2471,0.34
2471,FSU,0.34
FSU,2472,0.34
2472,FSU,0.34
FSU,2473,0.34
2473,FSU,0.34
FSU,2474,0.34
2474,FSU,0.34
FSU,2475,0.34
2475,FSU,0.34
FSU,2476,0.34
2476,FSU,0.34
FSU,2477,0.34
2477,FSU,0.34
FSU,2478,0.34
2478,FSU,0.34
FSU,2479,0.34
2479,FSU,0.34
FSU,2480,0.34
2480,FSU,0.34
FSU,2481,0.34
2481,FSU,0.34
FSU,2482,0.34
2482,FSU,0.34
FSU,2483,0.34
2483,FSU,0.34
FSU,2484,0.34
2484,FSU,0.34
FSU,2485,0.34
2485,FSU,0.34
FSU,2486,0.34
2486,FSU,0.34
FSU,2487,0.34
2487,FSU,0.34
FSU,2488,0.34
2488,FSU,0.34
FSU,2489,0.34
2489,FSU,0.34
FSU,2490,0.34
2490,FSU,0.34
FSU,2491,0.34
2491,FSU,0.34
FSU,2492,0.34
2492,FSU,0.34
FSU,2493,0.34
2493,FSU,0.34
FSU,2494,0.34
2494,FSU,0.34
FSU,2495,0.34
2495,FSU,0.34
FSU,2496,0.34
2496,FSU,0.34
FSU,2497,0.34
2497,FSU,0.34
FSU,2498,0.34
2498,FSU,0.34
FSU,2499,0.34
2499,FSU,0.34
FSU,2500,0.34
2500,FSU,0.34
FSU,2501,0.34
2501,FSU,0.34
FSU,2502,0.34
2502,FSU,0.34
FSU,2503,0.34
2503,FSU,0.34
FSU,2504,0.34
2504,FSU,0.34
FSU,2505,0.34
2505,FSU,0.34
FSU,2506,0.34
2506,FSU,0.34
FSU,2507,0.34
2507,FSU,0.34
FSU,2508,0.34
2508,FSU,0.34
FSU,2509,0.34
2509,FSU,0.34
FSU,2510,0.34
2510,FSU,0.34
FSU,2511,0.34
2511,FSU,0.34
FSU,2512,0.34
2512,FSU,0.34
FSU,2513,0.34
2513,FSU,0.34
FSU,2514,0.34
2514,FSU,0.34
FSU,2515,0.34
2515,FSU,0.34
FSU,2516,0.34
2516,FSU,0.34
FSU,2517,0.34
2517,FSU,0.34
FSU,2518,0.34
2518,FSU,0.34
FSU,2519,0.34
2519,FSU,0.34
FSU,2520,0.34
2520,FSU,0.34
FSU,2521,0.34
2521,FSU,0.34
FSU,2522,0.34
2522,FSU,0.34
FSU,2523,0.34
2523,FSU,0.34
FSU,2524,0.34
2524,FSU,0.34
FSU,2525,0.34
2525,FSU,0.34
FSU,2526,0.34
2526,FSU,0.34
FSU,2527,0.34
2527,FSU,0.34
FSU,2528,0.34
2528,FSU,0.34
FSU,2529,0.34
2529,FSU,0.34
FSU,2530,0.34
2530,FSU,0.34
FSU,2531,0.34
2531,FSU,0.34
FSU,2532,0.34
2532,FSU,0.34
FSU,2533,0.34
2533,FSU,0.34
FSU,2534,0.34
2534,FSU,0.34
FSU,2535,0.34
2535,FSU,0.34
FSU,2536,0.34
2536,FSU,0.34
FSU,2537,0.34
2537,FSU,0.34
FSU,2538,0.34
2538,FSU,0.34
FSU,2539,0.34
2539,FSU,0.34
FSU,2540,0.34
2540,FSU,0.34
FSU,2541,0.34
2541,FSU,0.34
FSU,2542,0.34
2542,FSU,0.34
FSU,2543,0.34
2543,FSU,0.34
FSU,2544,0.34
2544,FSU,0.34
FSU,2545,0.34
2545,FSU,0.34
FSU,2546,0.34
2546,FSU,0.34
FSU,2547,0.34
2547,FSU,0.34
FSU,2548,0.34
2548,FSU,0.34
FSU,2549,0.34
2549,FSU,0.34
FSU,2550,0.34
2550,FSU,0.34
FSU,2551,0.34
2551,FSU,0.34
FSU,2552,0.34
2552,FSU,0.34
FSU,2553,0.34
2553,FSU,0.34
FSU,2554,0.34
2554,FSU,0.34
FSU,2555,0.34
2555,FSU,0.34
FSU,2556,0.34
2556,FSU,0.34
FSU,2557,0.34
2557,FSU,0.34
FSU,2558,0.34
2558,FSU,0.34
FSU,2559,0.34
2559,FSU,0.34
FSU,2560,0.34
2560,FSU,0.34
FSU,2561,0.34
2561,FSU,0.34
FSU,2562,0.34
2562,FSU,0.34
FSU,2563,0.34
2563,FSU,0.34
FSU,2564,0.34
2564,FSU,0.34
FSU,2565,0.34
2565,FSU,0.34
FSU,2566,0.34
2566,FSU,0.34
FSU,2567,0.34
2567,FSU,0.34
FSU,2568,0.34
2568,FSU,0.34
FSU,2569,0.34
2569,FSU,0.34
FSU,2570,0.34
2570,FSU,0.34
FSU,2571,0.34
2571,FSU,0.34
FSU,2572,0.34
2572,FSU,0.34
FSU,2573,0.34
2573,FSU,0.34
FSU,2574,0.34
2574,FSU,0.34
FSU,2575,0.34
2575,FSU,0.34
FSU,2576,0.34
2576,FSU,0.34
FSU,2577,0.34
2577,FSU,0.34
FSU,2578,0.34
2578,FSU,0.34
FSU,2579,0.34
2579,FSU,0.34
FSU,2580,0.34
2580,FSU,0.34
FSU,2581,0.34
2581,FSU,0.34
FSU,2582,0.34
2582,FSU,0.34
FSU,2583,0.34
2583,FSU,0.34
FSU,2584,0.34
2584,FSU,0.34
FSU,2585,0.34
2585,FSU,0.34
FSU,2586,0.34
2586,FSU,0.34
FSU,2587,0.34
2587,FSU,0.34
FSU,2588,0.34
2588,FSU,0.34
FSU,2589,0.34
2589,FSU,0.34
FSU,2590,0.34
2590,FSU,0.34
FSU,2591,0.34
2591,FSU,0.34
FSU,2592,0.34
2592,FSU,0.34
FSU,2593,0.34
2593,FSU,0.34
FSU,2594,0.34
2594,FSU,0.34
FSU,2595,0.34
2595,FSU,0.34
FSU,2596,0.34
2596,FSU,0.34
FSU,2597,0.34
2597,FSU,0.34
FSU,2598,0.34
2598,FSU,0.34
FSU,2599,0.34
2599,FSU,0.34
FSU,2600,0.34
2600,FSU,0.34
FSU,2601,0.34
2601,FSU,0.34
FSU,2602,0.34
2602,FSU,0.34
FSU,2603,0.34
2603,FSU,0.34
FSU,2604,0.34
2604,FSU,0.34
FSU,2605,0.34
2605,FSU,0.34
FSU,2606,0.34
2606,FSU,0.34
FSU,2607,0.34
2607,FSU,0.34
FSU,2608,0.34
2608,FSU,0.34
FSU,2609,0.34
2609,FSU,0.34
FSU,2610,0.34
2610,FSU,0.34
FSU,2611,0.34
2611,FSU,0.34
FSU,2612,0.34
2612,FSU,0.34
FSU,2613,0.34
2613,FSU,0.34
FSU,2614,0.34
2614,FSU,0.34
FSU,2615,0.34
2615,FSU,0.34
FSU,2616,0.34
2616,FSU,0.34
FSU,2617,0.34
2617,FSU,0.34
FSU,2618,0.34
2618,FSU,0.34
FSU,2619,0.34
2619,FSU,0.34
FSU,2620,0.34
2620,FSU,0.34
FSU,2621,0.34
2621,FSU,0.34
FSU,2622,0.34
2622,FSU,0.34
FSU,2623,0.34
2623,FSU,0.34
FSU,2624,0.34
2624,FSU,0.34
FSU,2625,0.34
2625,FSU,0.34
FSU,2626,0.34
2626,FSU,0.34
FSU,2627,0.34
2627,FSU,0.34
FSU,2628,0.34
2628,FSU,0.34
FSU,2629,0.34
2629,FSU,0.34
FSU,2630,0.34
2630,FSU,0.34
FSU,2631,0.34
2631,FSU,0.34
FSU,2632,0.34
2632,FSU,0.34
FSU,2633,0.34
2633,FSU,0.34
FSU,2634,0.34
2634,FSU,0.34
FSU,2635,0.34
2635,FSU,0.34
FSU,2636,0.34
2636,FSU,0.34
FSU,2637,0.34
2637,FSU,0.34
FSU,2638,0.34
2638,FSU,0.34
FSU,2639,0.34
2639,FSU,0.34
FSU,2640,0.34
2640,FSU,0.34
FSU,2641,0.34
2641,FSU,0.34
FSU,2642,0.34
2642,FSU,0.34
FSU,2643,0.34
2643,FSU,0.34
FSU,2644,0.34
2644,FSU,0.34
FSU,2645,0.34
2645,FSU,0.34
FSU,2646,0.34
2646,FSU,0.34
FSU,2647,0.34
2647,FSU,0.34
FSU,2648,0.34
2648,FSU,0.34
FSU,2649,0.34
2649,FSU,0.34
FSU,2650,0.34
2650,FSU,0.34
FSU,2651,0.34
2651,FSU,0.34
FSU,2652,0.34
2652,FSU,0.34
FSU,2653,0.34
2653,FSU,0.34
FSU,2654,0.34
2654,FSU,0.34
FSU,2655,0.34
2655,FSU,0.34
FSU,2656,0.34
2656,FSU,0.34
FSU,2657,0.34
2657,FSU,0.34
FSU,2658,0.34
2658,FSU,0.34
FSU,2659,0.34
2659,FSU,0.34
FSU,2660,0.34
2660,FSU,0.34
FSU,2661,0.34
2661,FSU,0.34
FSU,2662,0.34
2662,FSU,0.34
FSU,2663,0.34
2663,FSU,0.34
FSU,2664,0.34
2664,FSU,0.34
FSU,2665,0.34
2665,FSU,0.34
FSU,2666,0.34
2666,FSU,0.34
FSU,2667,0.34
2667,FSU,0.34
FSU,2668,0.34
2668,FSU,0.34
FSU,2669,0.34
2669,FSU,0.34
FSU,2670,0.34
2670,FSU,0.34
FSU,2671,0.34
2671,FSU,0.34
FSU,2672,0.34
2672,FSU,0.34
FSU,2673,0.34
2673,FSU,0.34
FSU,2674,0.34
2674,FSU,0.34
FSU,2675,0.34
2675,FSU,0.34
FSU,2676,0.34
2676,FSU,0.34
FSU,2677,0.34
2677,FSU,0.34
FSU,2678,0.34
2678,FSU,0.34
FSU,2679,0.34
2679,FSU,0.34
FSU,2680,0.34
2680,FSU,0.34
FSU,2681,0.34
2681,FSU,0.34
FSU,2682,0.34
2682,FSU,0.34
FSU,2683,0.34
2683,FSU,0.34
FSU,2684,0.34
2684,FSU,0.34
FSU,2685,0.34
2685,FSU,0.34
FSU,2686,0.34
2686,FSU,0.34
FSU,2687,0.34
2687,FSU,0.34
FSU,2688,0.34
2688,FSU,0.34
FSU,2689,0.34
2689,FSU,0.34
FSU,2690,0.34
2690,FSU,0.34
FSU,2691,0.34
2691,FSU,0.34
FSU,2692,0.34
2692,FSU,0.34
FSU,2693,0.34
2693,FSU,0.34
FSU,2694,0.34
2694,FSU,0.34
FSU,2695,0.34
2695,FSU,0.34
FSU,2696,0.34
2696,FSU,0.34
FSU,2697,0.34
2697,FSU,0.34
FSU,2698,0.34
2698,FSU,0.34
FSU,2699,0.34
2699,FSU,0.34
FSU,2700,0.34
2700,FSU,0.34
FSU,2701,0.34
2701,FSU,0.34
FSU,2702,0.34
2702,FSU,0.34
FSU,2703,0.34
2703,FSU,0.34
FSU,2704,0.34
2704,FSU,0.34
FSU,2705,0.34
2705,FSU,0.34
FSU,2706,0.34
2706,FSU,0.34
FSU,2707,0.34
2707,FSU,0.34
FSU,2708,0.34
2708,FSU,0.34
FSU,2709,0.34
2709,FSU,0.34
FSU,2710,0.34
2710,FSU,0.34
FSU,2711,0.34
2711,FSU,0.34
FSU,2712,0.34
2712,FSU,0.34
FSU,2713,0.34
2713,FSU,0.34
FSU,2714,0.34
2714,FSU,0.34
FSU,2715,0.34
2715,FSU,0.34
FSU,2716,0.34
2716,FSU,0.34
FSU,2717,0.34
2717,FSU,0.34
FSU,2718,0.34
2718,FSU,0.34
FSU,2719,0.34
2719,FSU,0.34
FSU,2720,0.34
2720,FSU,0.34
FSU,2721,0.34
2721,FSU,0.34
FSU,2722,0.34
2722,FSU,0.34
FSU,2723,0.34
2723,FSU,0.34
FSU,2724,0.34
2724,FSU,0.34
FSU,2725,0.34
2725,FSU,0.34
FSU,2726,0.34
2726,FSU,0.34
FSU,2727,0.34
2727,FSU,0.34
FSU,2728,0.34
2728,FSU,0.34
FSU,2729,0.34
2729,FSU,0.34
FSU,2730,0.34
2730,FSU,0.34
FSU,2731,0.34
2731,FSU,0.34
FSU,2732,0.34
2732,FSU,0.34
FSU,2733,0.34
2733,FSU,0.34
FSU,2734,0.34
2734,FSU,0.34
FSU,2735,0.34
2735,FSU,0.34
FSU,2736,0.34
2736,FSU,0.34
FSU,2737,0.34
2737,FSU,0.34
FSU,2738,0.34
2738,FSU,0.34
FSU,2739,0.34
2739,FSU,0.34
FSU,2740,0.34
2740,FSU,0.34
FSU,2741,0.34
2741,FSU,0.34
FSU,2742,0.34
2742,FSU,0.34
FSU,2743,0.34
2743,FSU,0.34
FSU,2744,0.34
2744,FSU,0.34
FSU,2745,0.34
2745,FSU,0.34
FSU,2746,0.34
2746,FSU,0.34
FSU,2747,0.34
2747,FSU,0.34
FSU,2748,0.34
2748,FSU,0.34
FSU,2749,0.34
2749,FSU,0.34
FSU,2750,0.34
2750,FSU,0.34
FSU,2751,0.34
2751,FSU,0.34
FSU,2752,0.34
2752,FSU,0.34
FSU,2753,0.34
2753,FSU,0.34
FSU,2754,0.34
2754,FSU,0.34
FSU,2755,0.34
2755,FSU,0.34
FSU,2756,0.34
2756,FSU,0.34
FSU,2757,0.34
2757,FSU,0.34
FSU,2758,0.34
2758,FSU,0.34
FSU,2759,0.34
2759,FSU,0.34
FSU,2760,0.34
2760,FSU,0.34
FSU,2761,0.34
2761,FSU,0.34
FSU,2762,0.34
2762,FSU,0.34
FSU,2763,0.34
2763,FSU,0.34
FSU,2764,0.34
2764,FSU,0.34
FSU,2765,0.34
2765,FSU,0.34
FSU,2766,0.34
2766,FSU,0.34
FSU,2767,0.34
2767,FSU,0.34
FSU,2768,0.34
2768,FSU,0.34
FSU,2769,0.34
2769,FSU,0.34
FSU,2770,0.34
2770,FSU,0.34
FSU,2771,0.34
2771,FSU,0.34
FSU,2772,0.34
2772,FSU,0.34
FSU,2773,0.34
2773,FSU,0.34
FSU,2774,0.34
2774,FSU,0.34
FSU,2775,0.34
2775,FSU,0.34
FSU,2776,0.34
2776,FSU,0.34
FSU,2777,0.34
2777,FSU,0.34
FSU,2778,0.34
2778,FSU,0.34
FSU,2779,0.34
2779,FSU,0.34
FSU,2780,0.34
2780,FSU,0.34
FSU,2781,0.34
2781,FSU,0.34
FSU,2782,0.34
2782,FSU,0.34
FSU,2783,0.34
2783,FSU,0.34
FSU,2784,0.34
2784,FSU,0.34
FSU,2785,0.34
2785,FSU,0.34
FSU,2786,0.34
2786,FSU,0.34
FSU,2787,0.34
2787,FSU,0.34
FSU,2788,0.34
2788,FSU,0.34
FSU,2789,0.34
2789,FSU,0.34
FSU,2790,0.34
2790,FSU,0.34
FSU,2791,0.34
2791,FSU,0.34
FSU,2792,0.34
2792,FSU,0.34
FSU,2793,0.34
2793,FSU,0.34
FSU,2794,0.34
2794,FSU,0.34
FSU,2795,0.34
2795,FSU,0.34
FSU,2796,0.34
2796,FSU,0.34
FSU,2797,0.34
2797,FSU,0.34
FSU,2798,0.34
2798,FSU,0.34
FSU,2799,0.34
2799,FSU,0.34
FSU,2800,0.34
2800,FSU,0.34
FSU,2801,0.34
2801,FSU,0.34
FSU,2802,0.34
2802,FSU,0.34
FSU,2803,0.34
2803,FSU,0.34
FSU,2804,0.34
2804,FSU,0.34
FSU,2805,0.34
2805,FSU,0.34
FSU,2806,0.34
2806,FSU,0.34
FSU,2807,0.34
2807,FSU,0.34
FSU,2808,0.34
2808,FSU,0.34
FSU,2809,0.34
2809,FSU,0.34
FSU,2810,0.34
2810,FSU,0.34
FSU,2811,0.34
2811,FSU,0.34
FSU,2812,0.34
2812,FSU,0.34
FSU,2813,0.34
2813,FSU,0.34
FSU,2814,0.34
2814,FSU,0.34
FSU,2815,0.34
2815,FSU,0.34
FSU,2816,0.34
2816,FSU,0.34
FSU,2817,0.34
2817,FSU,0.34
FSU,2818,0.34
2818,FSU,0.34
FSU,2819,0.34
2819,FSU,0.34
FSU,2820,0.34
2820,FSU,0.34
FSU,2821,0.34
2821,FSU,0.34
FSU,2822,0.34
2822,FSU,0.34
FSU,2823,0.34
2823,FSU,0.34
FSU,2824,0.34
2824,FSU,0.34
FSU,2825,0.34
2825,FSU,0.34
FSU,2826,0.34
2826,FSU,0.34
FSU,2827,0.34
2827,FSU,0.34
FSU,2828,0.34
2828,FSU,0.34
FSU,2829,0.34
2829,FSU,0.34
FSU,2830,0.34
2830,FSU,0.34
FSU,2831,0.34
2831,FSU,0.34
FSU,2832,0.34
2832,FSU,0.34
FSU,2833,0.34
2833,FSU,0.34
FSU,2834,0.34
2834,FSU,0.34
FSU,2835,0.34
2835,FSU,0.34
FSU,2836,0.34
2836,FSU,0.34
FSU,2837,0.34
2837,FSU,0.34
FSU,2838,0.34
2838,FSU,0.34
FSU,2839,0.34
2839,FSU,0.34
FSU,2840,0.34
2840,FSU,0.34
FSU,2841,0.34
2841,FSU,0.34
FSU,2842,0.34
2842,FSU,0.34
FSU,2843,0.34
2843,FSU,0.34
FSU,2844,0.34
2844,FSU,0.34
FSU,2845,0.34
2845,FSU,0.34
FSU,2846,0.34
2846,FSU,0.34
FSU,2847,0.34
2847,FSU,0.34
FSU,2848,0.34
2848,FSU,0.34
FSU,2849,0.34
2849,FSU,0.34
FSU,2850,0.34
2850,FSU,0.34
FSU,2851,0.34
2851,FSU,0.34
FSU,2852,0.34
2852,FSU,0.34
FSU,2853,0.34
2853,FSU,0.34
FSU,2854,0.34
2854,FSU,0.34
FSU,2855,0.34
2855,FSU,0.34
FSU,2856,0.34
2856,FSU,0.34
FSU,2857,0.34
2857,FSU,0.34
FSU,2858,0.34
2858,FSU,0.34
FSU,2859,0.34
2859,FSU,0.34
FSU,2860,0.34
2860,FSU,0.34
FSU,2861,0.34
2861,FSU,0.34
FSU,2862,0.34
2862,FSU,0.34
FSU,2863,0.34
2863,FSU,0.34
FSU,2864,0.34
2864,FSU,0.34
FSU,2865,0.34
2865,FSU,0.34
FSU,2866,0.34
2866,FSU,0.34
FSU,2867,0.34
2867,FSU,0.34
FSU,2868,0.34
2868,FSU,0.34
FSU,2869,0.34
2869,FSU,0.34
FSU,2870,0.34
2870,FSU,0.34
FSU,2871,0.34
2871,FSU,0.34
FSU,2872,0.34
2872,FSU,0.34
FSU,2873,0.34
2873,FSU,0.34
FSU,2874,0.34
2874,FSU,0.34
FSU,2875,0.34
2875,FSU,0.34
FSU,2876,0.34
2876,FSU,0.34
FSU,2877,0.34
2877,FSU,0.34
FSU,2878,0.34
2878,FSU,0.34
FSU,2879,0.34
2879,FSU,0.34
FSU,2880,0.34
2880,FSU,0.34
FSU,2881,0.34
2881,FSU,0.34
FSU,2882,0.34
2882,FSU,0.34
FSU,2883,0.34
2883,FSU,0.34
FSU,2884,0.34
2884,FSU,0.34
FSU,2885,0.34
2885,FSU,0.34
FSU,2886,0.34
2886,FSU,0.34
FSU,2887,0.34
2887,FSU,0.34
FSU,2888,0.34
2888,FSU,0.34
FSU,2889,0.34
2889,FSU,0.34
FSU,2890,0.34
2890,FSU,0.34
FSU,2891,0.34
2891,FSU,0.34
FSU,2892,0.34
2892,FSU,0.34
FSU,2893,0.34
2893,FSU,0.34
FSU,2894,0.34
2894,FSU,0.34
FSU,2895,0.34
2895,FSU,0.34
FSU,2896,0.34
2896,FSU,0.34
FSU,2897,0.34
2897,FSU,0.34
FSU,2898,0.34
2898,FSU,0.34
FSU,2899,0.34
2899,FSU,0.34
FSU,2900,0.34
2900,FSU,0.34
FSU,2901,0.34
2901,FSU,0.34
FSU,2902,0.34
2902,FSU,0.34
FSU,2903,0.34
2903,FSU,0.34
FSU,2904,0.34
2904,FSU,0.34
FSU,2905,0.34
2905,FSU,0.34
FSU,2906,0.34
2906,FSU,0.34
FSU,2907,0.34
2907,FSU,0.34
FSU,2908,0.34
2908,FSU,0.34
FSU,2909,0.34
2909,FSU,0.34
FSU,2910,0.34
2910,FSU,0.34
FSU,2911,0.34
2911,FSU,0.34
FSU,2912,0.34
2912,FSU,0.34
FSU,2913,0.34
2913,FSU,0.34
FSU,2914,0.34
2914,FSU,0.34
FSU,2915,0.34
2915,FSU,0.34
FSU,2916,0.34
2916,FSU,0.34
FSU,2917,0.34
2917,FSU,0.34
FSU,2918,0.34
2918,FSU,0.34
FSU,2919,0.34
2919,FSU,0.34
FSU,2920,0.34
2920,FSU,0.34
FSU,2921,0.34
2921,FSU,0.34
FSU,2922,0.34
2922,FSU,0.34
FSU,2923,0.34
2923,FSU,0.34
FSU,2924,0.34
2924,FSU,0.34
FSU,2925,0.34
2925,FSU,0.34
FSU,2926,0.34
2926,FSU,0.34
FSU,2927,0.34
2927,FSU,0.34
FSU,2928,0.34
2928,FSU,0.34
FSU,2929,0.34
2929,FSU,0.34
FSU,2930,0.34
2930,FSU,0.34
FSU,2931,0.34
2931,FSU,0.34
FSU,2932,0.34
2932,FSU,0.34
FSU,2933,0.34
2933,FSU,0.34
FSU,2934,0.34
2934,FSU,0.34
FSU,2935,0.34
2935,FSU,0.34
FSU,2936,0.34
2936,FSU,0.34
FSU,2937,0.34
2937,FSU,0.34
FSU,2938,0.34
2938,FSU,0.34
FSU,2939,0.34
2939,FSU,0.34
FSU,2940,0.34
2940,FSU,0.34
FSU,2941,0.34
2941,FSU,0.34
FSU,2942,0.34
2942,FSU,0.34
FSU,2943,0.34
2943,FSU,0.34
FSU,2944,0.34
2944,FSU,0.34
FSU,2945,0.34
2945,FSU,0.34
FSU,2946,0.34
2946,FSU,0.34
FSU,2947,0.34
2947,FSU,0.34
FSU,2948,0.34
2948,FSU,0.34
FSU,2949,0.34
2949,FSU,0.34
FSU,2950,0.34
2950,FSU,0.34
FSU,2951,0.34
2951,FSU,0.34
FSU,2952,0.34
2952,FSU,0.34
FSU,2953,0.34
2953,FSU,0.34
FSU,2954,0.34
2954,FSU,0.34
FSU,2955,0.34
2955,FSU,0.34
FSU,2956,0.34
2956,FSU,0.34
FSU,2957,0.34
2957,FSU,0.34
FSU,2958,0.34
2958,FSU,0.34
FSU,2959,0.34
2959,FSU,0.34
FSU,2960,0.34
2960,FSU,0.34
FSU,2961,0.34
2961,FSU,0.34
FSU,2962,0.34
2962,FSU,0.34
FSU,2963,0.34
2963,FSU,0.34
FSU,2964,0.34
2964,FSU,0.34
FSU,2965,0.34
2965,FSU,0.34
FSU,2966,0.34
2966,FSU,0.34
FSU,2967,0.34
2967,FSU,0.34
FSU,2968,0.34
2968,FSU,0.34
FSU,2969,0.34
2969,FSU,0.34
FSU,2970,0.34
2970,FSU,0.34
FSU,2971,0.34
2971,FSU,0.34
FSU,2972,0.34
2972,FSU,0.34
FSU,2973,0.34
2973,FSU,0.34
FSU,2974,0.34
2974,FSU,0.34
FSU,2975,0.34
2975,FSU,0.34
FSU,2976,0.34
2976,FSU,0.34
FSU,2977,0.34
2977,FSU,0.34
FSU,2978,0.34
2978,FSU,0.34
FSU,2979,0.34
2979,FSU,0.34
FSU,2980,0.34
2980,FSU,0.34
FSU,2981,0.34
2981,FSU,0.34
FSU,2982,0.34
2982,FSU,0.34
FSU,2983,0.34
2983,FSU,0.34
FSU,2984,0.34
2984,FSU,0.34
FSU,2985,0.34
2985,FSU,0.34
FSU,2986,0.34
2986,FSU,0.34
FSU,2987,0.34
2987,FSU,0.34
FSU,2988,0.34
2988,FSU,0.34
FSU,2989,0.34
2989,FSU,0.34
FSU,2990,0.34
2990,FSU,0.34
FSU,2991,0.34
2991,FSU,0.34
FSU,2992,0.34
2992,FSU,0.34
FSU,2993,0.34
2993,FSU,0.34
FSU,2994,0.34
