Timestep,Region,pgrowth
JPK,2870,0
2870,JPK,0
JPK,2871,0
2871,JPK,0
JPK,2872,0
2872,JPK,0
JPK,2873,0
2873,JPK,0
JPK,2874,0
2874,JPK,0
JPK,2875,0
2875,JPK,0
JPK,2876,0
2876,JPK,0
JPK,2877,0
2877,JPK,0
JPK,2878,0
2878,JPK,0
JPK,2879,0
2879,JPK,0
JPK,2880,0
2880,JPK,0
JPK,2881,0
2881,JPK,0
JPK,2882,0
2882,JPK,0
JPK,2883,0
2883,JPK,0
JPK,2884,0
2884,JPK,0
JPK,2885,0
2885,JPK,0
JPK,2886,0
2886,JPK,0
JPK,2887,0
2887,JPK,0
JPK,2888,0
2888,JPK,0
JPK,2889,0
2889,JPK,0
JPK,2890,0
2890,JPK,0
JPK,2891,0
2891,JPK,0
JPK,2892,0
2892,JPK,0
JPK,2893,0
2893,JPK,0
JPK,2894,0
2894,JPK,0
JPK,2895,0
2895,JPK,0
JPK,2896,0
2896,JPK,0
JPK,2897,0
2897,JPK,0
JPK,2898,0
2898,JPK,0
JPK,2899,0
2899,JPK,0
JPK,2900,0
2900,JPK,0
JPK,2901,0
2901,JPK,0
JPK,2902,0
2902,JPK,0
JPK,2903,0
2903,JPK,0
JPK,2904,0
2904,JPK,0
JPK,2905,0
2905,JPK,0
JPK,2906,0
2906,JPK,0
JPK,2907,0
2907,JPK,0
JPK,2908,0
2908,JPK,0
JPK,2909,0
2909,JPK,0
JPK,2910,0
2910,JPK,0
JPK,2911,0
2911,JPK,0
JPK,2912,0
2912,JPK,0
JPK,2913,0
2913,JPK,0
JPK,2914,0
2914,JPK,0
JPK,2915,0
2915,JPK,0
JPK,2916,0
2916,JPK,0
JPK,2917,0
2917,JPK,0
JPK,2918,0
2918,JPK,0
JPK,2919,0
2919,JPK,0
JPK,2920,0
2920,JPK,0
JPK,2921,0
2921,JPK,0
JPK,2922,0
2922,JPK,0
JPK,2923,0
2923,JPK,0
JPK,2924,0
2924,JPK,0
JPK,2925,0
2925,JPK,0
JPK,2926,0
2926,JPK,0
JPK,2927,0
2927,JPK,0
JPK,2928,0
2928,JPK,0
JPK,2929,0
2929,JPK,0
JPK,2930,0
2930,JPK,0
JPK,2931,0
2931,JPK,0
JPK,2932,0
2932,JPK,0
JPK,2933,0
2933,JPK,0
JPK,2934,0
2934,JPK,0
JPK,2935,0
2935,JPK,0
JPK,2936,0
2936,JPK,0
JPK,2937,0
2937,JPK,0
JPK,2938,0
2938,JPK,0
JPK,2939,0
2939,JPK,0
JPK,2940,0
2940,JPK,0
JPK,2941,0
2941,JPK,0
JPK,2942,0
2942,JPK,0
JPK,2943,0
2943,JPK,0
JPK,2944,0
2944,JPK,0
JPK,2945,0
2945,JPK,0
JPK,2946,0
2946,JPK,0
JPK,2947,0
2947,JPK,0
JPK,2948,0
2948,JPK,0
JPK,2949,0
2949,JPK,0
JPK,2950,0
2950,JPK,0
JPK,2951,0
2951,JPK,0
JPK,2952,0
2952,JPK,0
JPK,2953,0
2953,JPK,0
JPK,2954,0
2954,JPK,0
JPK,2955,0
2955,JPK,0
JPK,2956,0
2956,JPK,0
JPK,2957,0
2957,JPK,0
JPK,2958,0
2958,JPK,0
JPK,2959,0
2959,JPK,0
JPK,2960,0
2960,JPK,0
JPK,2961,0
2961,JPK,0
JPK,2962,0
2962,JPK,0
JPK,2963,0
2963,JPK,0
JPK,2964,0
2964,JPK,0
JPK,2965,0
2965,JPK,0
JPK,2966,0
2966,JPK,0
JPK,2967,0
2967,JPK,0
JPK,2968,0
2968,JPK,0
JPK,2969,0
2969,JPK,0
JPK,2970,0
2970,JPK,0
JPK,2971,0
2971,JPK,0
JPK,2972,0
2972,JPK,0
JPK,2973,0
2973,JPK,0
JPK,2974,0
2974,JPK,0
JPK,2975,0
2975,JPK,0
JPK,2976,0
2976,JPK,0
JPK,2977,0
2977,JPK,0
JPK,2978,0
2978,JPK,0
JPK,2979,0
2979,JPK,0
JPK,2980,0
2980,JPK,0
JPK,2981,0
2981,JPK,0
JPK,2982,0
2982,JPK,0
JPK,2983,0
2983,JPK,0
JPK,2984,0
2984,JPK,0
JPK,2985,0
2985,JPK,0
JPK,2986,0
2986,JPK,0
JPK,2987,0
2987,JPK,0
JPK,2988,0
2988,JPK,0
JPK,2989,0
2989,JPK,0
JPK,2990,0
2990,JPK,0
JPK,2991,0
2991,JPK,0
JPK,2992,0
2992,JPK,0
JPK,2993,0
2993,JPK,0
JPK,2994,0
2994,JPK,0
JPK,2995,0
2995,JPK,0
JPK,2996,0
2996,JPK,0
JPK,2997,0
2997,JPK,0
JPK,2998,0
2998,JPK,0
JPK,2999,0
2999,JPK,0
JPK,3000,0
3000,JPK,0
ANZ,1950,2.201
1950,ANZ,2.201
ANZ,1951,2.201
1951,ANZ,2.201
ANZ,1952,2.201
1952,ANZ,2.201
ANZ,1953,2.201
1953,ANZ,2.201
ANZ,1954,2.201
1954,ANZ,2.201
ANZ,1955,2.201
1955,ANZ,2.201
ANZ,1956,2.201
1956,ANZ,2.201
ANZ,1957,2.201
1957,ANZ,2.201
ANZ,1958,2.201
1958,ANZ,2.201
ANZ,1959,2.201
1959,ANZ,2.201
ANZ,1960,1.744
1960,ANZ,1.744
ANZ,1961,1.744
1961,ANZ,1.744
ANZ,1962,1.744
1962,ANZ,1.744
ANZ,1963,1.744
1963,ANZ,1.744
ANZ,1964,1.744
1964,ANZ,1.744
ANZ,1965,1.744
1965,ANZ,1.744
ANZ,1966,1.744
1966,ANZ,1.744
ANZ,1967,1.744
1967,ANZ,1.744
ANZ,1968,1.744
1968,ANZ,1.744
ANZ,1969,1.744
1969,ANZ,1.744
ANZ,1970,0.995
1970,ANZ,0.995
ANZ,1971,0.995
1971,ANZ,0.995
ANZ,1972,0.995
1972,ANZ,0.995
ANZ,1973,0.995
1973,ANZ,0.995
ANZ,1974,0.995
1974,ANZ,0.995
ANZ,1975,0.995
1975,ANZ,0.995
ANZ,1976,0.995
1976,ANZ,0.995
ANZ,1977,0.995
1977,ANZ,0.995
ANZ,1978,0.995
1978,ANZ,0.995
ANZ,1979,0.995
1979,ANZ,0.995
ANZ,1980,0.768
1980,ANZ,0.768
ANZ,1981,0.768
1981,ANZ,0.768
ANZ,1982,0.768
1982,ANZ,0.768
ANZ,1983,0.768
1983,ANZ,0.768
ANZ,1984,0.768
1984,ANZ,0.768
ANZ,1985,0.768
1985,ANZ,0.768
ANZ,1986,0.768
1986,ANZ,0.768
ANZ,1987,0.768
1987,ANZ,0.768
ANZ,1988,0.768
1988,ANZ,0.768
ANZ,1989,0.768
1989,ANZ,0.768
ANZ,1990,1.785
1990,ANZ,1.785
ANZ,1991,1.785
1991,ANZ,1.785
ANZ,1992,1.785
1992,ANZ,1.785
ANZ,1993,1.785
1993,ANZ,1.785
ANZ,1994,1.785
1994,ANZ,1.785
ANZ,1995,1.017
1995,ANZ,1.017
ANZ,1996,1.017
1996,ANZ,1.017
ANZ,1997,1.017
1997,ANZ,1.017
ANZ,1998,1.017
1998,ANZ,1.017
ANZ,1999,1.017
1999,ANZ,1.017
ANZ,2000,1.016
2000,ANZ,1.016
ANZ,2001,1.014
2001,ANZ,1.014
ANZ,2002,1.012
2002,ANZ,1.012
ANZ,2003,1.011
2003,ANZ,1.011
ANZ,2004,1.009
2004,ANZ,1.009
ANZ,2005,1.008
2005,ANZ,1.008
ANZ,2006,1.006
2006,ANZ,1.006
ANZ,2007,1.005
2007,ANZ,1.005
ANZ,2008,1.003
2008,ANZ,1.003
ANZ,2009,1.002
2009,ANZ,1.002
ANZ,2010,1
2010,ANZ,1
ANZ,2011,0.95
2011,ANZ,0.95
ANZ,2012,0.9
2012,ANZ,0.9
ANZ,2013,0.85
2013,ANZ,0.85
ANZ,2014,0.8
2014,ANZ,0.8
ANZ,2015,0.75
2015,ANZ,0.75
ANZ,2016,0.7
2016,ANZ,0.7
ANZ,2017,0.65
2017,ANZ,0.65
ANZ,2018,0.6
2018,ANZ,0.6
ANZ,2019,0.55
2019,ANZ,0.55
ANZ,2020,0.5
2020,ANZ,0.5
ANZ,2021,0.475
2021,ANZ,0.475
ANZ,2022,0.45
2022,ANZ,0.45
ANZ,2023,0.425
2023,ANZ,0.425
ANZ,2024,0.4
2024,ANZ,0.4
ANZ,2025,0.375
2025,ANZ,0.375
ANZ,2026,0.35
2026,ANZ,0.35
ANZ,2027,0.325
2027,ANZ,0.325
ANZ,2028,0.3
2028,ANZ,0.3
ANZ,2029,0.275
2029,ANZ,0.275
ANZ,2030,0.25
2030,ANZ,0.25
ANZ,2031,0.25
2031,ANZ,0.25
ANZ,2032,0.25
2032,ANZ,0.25
ANZ,2033,0.25
2033,ANZ,0.25
ANZ,2034,0.25
2034,ANZ,0.25
ANZ,2035,0.25
2035,ANZ,0.25
ANZ,2036,0.25
2036,ANZ,0.25
ANZ,2037,0.25
2037,ANZ,0.25
ANZ,2038,0.25
2038,ANZ,0.25
ANZ,2039,0.25
2039,ANZ,0.25
ANZ,2040,0.25
2040,ANZ,0.25
ANZ,2041,0.235
2041,ANZ,0.235
ANZ,2042,0.22
2042,ANZ,0.22
ANZ,2043,0.205
2043,ANZ,0.205
ANZ,2044,0.19
2044,ANZ,0.19
ANZ,2045,0.175
2045,ANZ,0.175
ANZ,2046,0.16
2046,ANZ,0.16
ANZ,2047,0.145
2047,ANZ,0.145
ANZ,2048,0.13
2048,ANZ,0.13
ANZ,2049,0.115
2049,ANZ,0.115
ANZ,2050,0.1
2050,ANZ,0.1
ANZ,2051,0.1
2051,ANZ,0.1
ANZ,2052,0.1
2052,ANZ,0.1
ANZ,2053,0.1
2053,ANZ,0.1
ANZ,2054,0.1
2054,ANZ,0.1
ANZ,2055,0.1
2055,ANZ,0.1
ANZ,2056,0.1
2056,ANZ,0.1
ANZ,2057,0.1
2057,ANZ,0.1
ANZ,2058,0.1
2058,ANZ,0.1
ANZ,2059,0.1
2059,ANZ,0.1
ANZ,2060,0.1
2060,ANZ,0.1
ANZ,2061,0.1
2061,ANZ,0.1
ANZ,2062,0.1
2062,ANZ,0.1
ANZ,2063,0.1
2063,ANZ,0.1
ANZ,2064,0.1
2064,ANZ,0.1
ANZ,2065,0.1
2065,ANZ,0.1
ANZ,2066,0.1
2066,ANZ,0.1
ANZ,2067,0.1
2067,ANZ,0.1
ANZ,2068,0.1
2068,ANZ,0.1
ANZ,2069,0.1
2069,ANZ,0.1
ANZ,2070,0.1
2070,ANZ,0.1
ANZ,2071,0.095
2071,ANZ,0.095
ANZ,2072,0.09
2072,ANZ,0.09
ANZ,2073,0.085
2073,ANZ,0.085
ANZ,2074,0.08
2074,ANZ,0.08
ANZ,2075,0.075
2075,ANZ,0.075
ANZ,2076,0.07
2076,ANZ,0.07
ANZ,2077,0.065
2077,ANZ,0.065
ANZ,2078,0.06
2078,ANZ,0.06
ANZ,2079,0.055
2079,ANZ,0.055
ANZ,2080,0.05
2080,ANZ,0.05
ANZ,2081,0.05
2081,ANZ,0.05
ANZ,2082,0.05
2082,ANZ,0.05
ANZ,2083,0.05
2083,ANZ,0.05
ANZ,2084,0.05
2084,ANZ,0.05
ANZ,2085,0.05
2085,ANZ,0.05
ANZ,2086,0.05
2086,ANZ,0.05
ANZ,2087,0.05
2087,ANZ,0.05
ANZ,2088,0.05
2088,ANZ,0.05
ANZ,2089,0.05
2089,ANZ,0.05
ANZ,2090,0.05
2090,ANZ,0.05
ANZ,2091,0.045
2091,ANZ,0.045
ANZ,2092,0.04
2092,ANZ,0.04
ANZ,2093,0.035
2093,ANZ,0.035
ANZ,2094,0.03
2094,ANZ,0.03
ANZ,2095,0.025
2095,ANZ,0.025
ANZ,2096,0.02
2096,ANZ,0.02
ANZ,2097,0.015
2097,ANZ,0.015
ANZ,2098,0.01
2098,ANZ,0.01
ANZ,2099,0.005
2099,ANZ,0.005
ANZ,2100,0
2100,ANZ,0
ANZ,2101,0
2101,ANZ,0
ANZ,2102,0
2102,ANZ,0
ANZ,2103,0
2103,ANZ,0
ANZ,2104,0
2104,ANZ,0
ANZ,2105,0
2105,ANZ,0
ANZ,2106,0
2106,ANZ,0
ANZ,2107,0
2107,ANZ,0
ANZ,2108,0
2108,ANZ,0
ANZ,2109,0
2109,ANZ,0
ANZ,2110,0
2110,ANZ,0
ANZ,2111,0
2111,ANZ,0
ANZ,2112,0
2112,ANZ,0
ANZ,2113,0
2113,ANZ,0
ANZ,2114,0
2114,ANZ,0
ANZ,2115,0
2115,ANZ,0
ANZ,2116,0
2116,ANZ,0
ANZ,2117,0
2117,ANZ,0
ANZ,2118,0
2118,ANZ,0
ANZ,2119,0
2119,ANZ,0
ANZ,2120,0
2120,ANZ,0
ANZ,2121,0
2121,ANZ,0
ANZ,2122,0
2122,ANZ,0
ANZ,2123,0
2123,ANZ,0
ANZ,2124,0
2124,ANZ,0
ANZ,2125,0
2125,ANZ,0
ANZ,2126,0
2126,ANZ,0
ANZ,2127,0
2127,ANZ,0
ANZ,2128,0
2128,ANZ,0
ANZ,2129,0
2129,ANZ,0
ANZ,2130,0
2130,ANZ,0
ANZ,2131,0
2131,ANZ,0
ANZ,2132,0
2132,ANZ,0
ANZ,2133,0
2133,ANZ,0
ANZ,2134,0
2134,ANZ,0
ANZ,2135,0
2135,ANZ,0
ANZ,2136,0
2136,ANZ,0
ANZ,2137,0
2137,ANZ,0
ANZ,2138,0
2138,ANZ,0
ANZ,2139,0
2139,ANZ,0
ANZ,2140,0
2140,ANZ,0
ANZ,2141,0
2141,ANZ,0
ANZ,2142,0
2142,ANZ,0
ANZ,2143,0
2143,ANZ,0
ANZ,2144,0
2144,ANZ,0
ANZ,2145,0
2145,ANZ,0
ANZ,2146,0
2146,ANZ,0
ANZ,2147,0
2147,ANZ,0
ANZ,2148,0
2148,ANZ,0
ANZ,2149,0
2149,ANZ,0
ANZ,2150,0
2150,ANZ,0
ANZ,2151,0
2151,ANZ,0
ANZ,2152,0
2152,ANZ,0
ANZ,2153,0
2153,ANZ,0
ANZ,2154,0
2154,ANZ,0
ANZ,2155,0
2155,ANZ,0
ANZ,2156,0
2156,ANZ,0
ANZ,2157,0
2157,ANZ,0
ANZ,2158,0
2158,ANZ,0
ANZ,2159,0
2159,ANZ,0
ANZ,2160,0
2160,ANZ,0
ANZ,2161,0
2161,ANZ,0
ANZ,2162,0
2162,ANZ,0
ANZ,2163,0
2163,ANZ,0
ANZ,2164,0
2164,ANZ,0
ANZ,2165,0
2165,ANZ,0
ANZ,2166,0
2166,ANZ,0
ANZ,2167,0
2167,ANZ,0
ANZ,2168,0
2168,ANZ,0
ANZ,2169,0
2169,ANZ,0
ANZ,2170,0
2170,ANZ,0
ANZ,2171,0
2171,ANZ,0
ANZ,2172,0
2172,ANZ,0
ANZ,2173,0
2173,ANZ,0
ANZ,2174,0
2174,ANZ,0
ANZ,2175,0
2175,ANZ,0
ANZ,2176,0
2176,ANZ,0
ANZ,2177,0
2177,ANZ,0
ANZ,2178,0
2178,ANZ,0
ANZ,2179,0
2179,ANZ,0
ANZ,2180,0
2180,ANZ,0
ANZ,2181,0
2181,ANZ,0
ANZ,2182,0
2182,ANZ,0
ANZ,2183,0
2183,ANZ,0
ANZ,2184,0
2184,ANZ,0
ANZ,2185,0
2185,ANZ,0
ANZ,2186,0
2186,ANZ,0
ANZ,2187,0
2187,ANZ,0
ANZ,2188,0
2188,ANZ,0
ANZ,2189,0
2189,ANZ,0
ANZ,2190,0
2190,ANZ,0
ANZ,2191,0
2191,ANZ,0
ANZ,2192,0
2192,ANZ,0
ANZ,2193,0
2193,ANZ,0
ANZ,2194,0
2194,ANZ,0
ANZ,2195,0
2195,ANZ,0
ANZ,2196,0
2196,ANZ,0
ANZ,2197,0
2197,ANZ,0
ANZ,2198,0
2198,ANZ,0
ANZ,2199,0
2199,ANZ,0
ANZ,2200,0
2200,ANZ,0
ANZ,2201,0
2201,ANZ,0
ANZ,2202,0
2202,ANZ,0
ANZ,2203,0
2203,ANZ,0
ANZ,2204,0
2204,ANZ,0
ANZ,2205,0
2205,ANZ,0
ANZ,2206,0
2206,ANZ,0
ANZ,2207,0
2207,ANZ,0
ANZ,2208,0
2208,ANZ,0
ANZ,2209,0
2209,ANZ,0
ANZ,2210,0
2210,ANZ,0
ANZ,2211,0
2211,ANZ,0
ANZ,2212,0
2212,ANZ,0
ANZ,2213,0
2213,ANZ,0
ANZ,2214,0
2214,ANZ,0
ANZ,2215,0
2215,ANZ,0
ANZ,2216,0
2216,ANZ,0
ANZ,2217,0
2217,ANZ,0
ANZ,2218,0
2218,ANZ,0
ANZ,2219,0
2219,ANZ,0
ANZ,2220,0
2220,ANZ,0
ANZ,2221,0
2221,ANZ,0
ANZ,2222,0
2222,ANZ,0
ANZ,2223,0
2223,ANZ,0
ANZ,2224,0
2224,ANZ,0
ANZ,2225,0
2225,ANZ,0
ANZ,2226,0
2226,ANZ,0
ANZ,2227,0
2227,ANZ,0
ANZ,2228,0
2228,ANZ,0
ANZ,2229,0
2229,ANZ,0
ANZ,2230,0
2230,ANZ,0
ANZ,2231,0
2231,ANZ,0
ANZ,2232,0
2232,ANZ,0
ANZ,2233,0
2233,ANZ,0
ANZ,2234,0
2234,ANZ,0
ANZ,2235,0
2235,ANZ,0
ANZ,2236,0
2236,ANZ,0
ANZ,2237,0
2237,ANZ,0
ANZ,2238,0
2238,ANZ,0
ANZ,2239,0
2239,ANZ,0
ANZ,2240,0
2240,ANZ,0
ANZ,2241,0
2241,ANZ,0
ANZ,2242,0
2242,ANZ,0
ANZ,2243,0
2243,ANZ,0
ANZ,2244,0
2244,ANZ,0
ANZ,2245,0
2245,ANZ,0
ANZ,2246,0
2246,ANZ,0
ANZ,2247,0
2247,ANZ,0
ANZ,2248,0
2248,ANZ,0
ANZ,2249,0
2249,ANZ,0
ANZ,2250,0
2250,ANZ,0
ANZ,2251,0
2251,ANZ,0
ANZ,2252,0
2252,ANZ,0
ANZ,2253,0
2253,ANZ,0
ANZ,2254,0
2254,ANZ,0
ANZ,2255,0
2255,ANZ,0
ANZ,2256,0
2256,ANZ,0
ANZ,2257,0
2257,ANZ,0
ANZ,2258,0
2258,ANZ,0
ANZ,2259,0
2259,ANZ,0
ANZ,2260,0
2260,ANZ,0
ANZ,2261,0
2261,ANZ,0
ANZ,2262,0
2262,ANZ,0
ANZ,2263,0
2263,ANZ,0
ANZ,2264,0
2264,ANZ,0
ANZ,2265,0
2265,ANZ,0
ANZ,2266,0
2266,ANZ,0
ANZ,2267,0
2267,ANZ,0
ANZ,2268,0
2268,ANZ,0
ANZ,2269,0
2269,ANZ,0
ANZ,2270,0
2270,ANZ,0
ANZ,2271,0
2271,ANZ,0
ANZ,2272,0
2272,ANZ,0
ANZ,2273,0
2273,ANZ,0
ANZ,2274,0
2274,ANZ,0
ANZ,2275,0
2275,ANZ,0
ANZ,2276,0
2276,ANZ,0
ANZ,2277,0
2277,ANZ,0
ANZ,2278,0
2278,ANZ,0
ANZ,2279,0
2279,ANZ,0
ANZ,2280,0
2280,ANZ,0
ANZ,2281,0
2281,ANZ,0
ANZ,2282,0
2282,ANZ,0
ANZ,2283,0
2283,ANZ,0
ANZ,2284,0
2284,ANZ,0
ANZ,2285,0
2285,ANZ,0
ANZ,2286,0
2286,ANZ,0
ANZ,2287,0
2287,ANZ,0
ANZ,2288,0
2288,ANZ,0
ANZ,2289,0
2289,ANZ,0
ANZ,2290,0
2290,ANZ,0
ANZ,2291,0
2291,ANZ,0
ANZ,2292,0
2292,ANZ,0
ANZ,2293,0
2293,ANZ,0
ANZ,2294,0
2294,ANZ,0
ANZ,2295,0
2295,ANZ,0
ANZ,2296,0
2296,ANZ,0
ANZ,2297,0
2297,ANZ,0
ANZ,2298,0
2298,ANZ,0
ANZ,2299,0
2299,ANZ,0
ANZ,2300,0
2300,ANZ,0
ANZ,2301,0
2301,ANZ,0
ANZ,2302,0
2302,ANZ,0
ANZ,2303,0
2303,ANZ,0
ANZ,2304,0
2304,ANZ,0
ANZ,2305,0
2305,ANZ,0
ANZ,2306,0
2306,ANZ,0
ANZ,2307,0
2307,ANZ,0
ANZ,2308,0
2308,ANZ,0
ANZ,2309,0
2309,ANZ,0
ANZ,2310,0
2310,ANZ,0
ANZ,2311,0
2311,ANZ,0
ANZ,2312,0
2312,ANZ,0
ANZ,2313,0
2313,ANZ,0
ANZ,2314,0
2314,ANZ,0
ANZ,2315,0
2315,ANZ,0
ANZ,2316,0
2316,ANZ,0
ANZ,2317,0
2317,ANZ,0
ANZ,2318,0
2318,ANZ,0
ANZ,2319,0
2319,ANZ,0
ANZ,2320,0
2320,ANZ,0
ANZ,2321,0
2321,ANZ,0
ANZ,2322,0
2322,ANZ,0
ANZ,2323,0
2323,ANZ,0
ANZ,2324,0
2324,ANZ,0
ANZ,2325,0
2325,ANZ,0
ANZ,2326,0
2326,ANZ,0
ANZ,2327,0
2327,ANZ,0
ANZ,2328,0
2328,ANZ,0
ANZ,2329,0
2329,ANZ,0
ANZ,2330,0
2330,ANZ,0
ANZ,2331,0
2331,ANZ,0
ANZ,2332,0
2332,ANZ,0
ANZ,2333,0
2333,ANZ,0
ANZ,2334,0
2334,ANZ,0
ANZ,2335,0
2335,ANZ,0
ANZ,2336,0
2336,ANZ,0
ANZ,2337,0
2337,ANZ,0
ANZ,2338,0
2338,ANZ,0
ANZ,2339,0
2339,ANZ,0
ANZ,2340,0
2340,ANZ,0
ANZ,2341,0
2341,ANZ,0
ANZ,2342,0
2342,ANZ,0
ANZ,2343,0
2343,ANZ,0
ANZ,2344,0
2344,ANZ,0
ANZ,2345,0
2345,ANZ,0
ANZ,2346,0
2346,ANZ,0
ANZ,2347,0
2347,ANZ,0
ANZ,2348,0
2348,ANZ,0
ANZ,2349,0
2349,ANZ,0
ANZ,2350,0
2350,ANZ,0
ANZ,2351,0
2351,ANZ,0
ANZ,2352,0
2352,ANZ,0
ANZ,2353,0
2353,ANZ,0
ANZ,2354,0
2354,ANZ,0
ANZ,2355,0
2355,ANZ,0
ANZ,2356,0
2356,ANZ,0
ANZ,2357,0
2357,ANZ,0
ANZ,2358,0
2358,ANZ,0
ANZ,2359,0
2359,ANZ,0
ANZ,2360,0
2360,ANZ,0
ANZ,2361,0
2361,ANZ,0
ANZ,2362,0
2362,ANZ,0
ANZ,2363,0
2363,ANZ,0
ANZ,2364,0
2364,ANZ,0
ANZ,2365,0
2365,ANZ,0
ANZ,2366,0
2366,ANZ,0
ANZ,2367,0
2367,ANZ,0
ANZ,2368,0
2368,ANZ,0
ANZ,2369,0
2369,ANZ,0
ANZ,2370,0
2370,ANZ,0
ANZ,2371,0
2371,ANZ,0
ANZ,2372,0
2372,ANZ,0
ANZ,2373,0
2373,ANZ,0
ANZ,2374,0
2374,ANZ,0
ANZ,2375,0
2375,ANZ,0
ANZ,2376,0
2376,ANZ,0
ANZ,2377,0
2377,ANZ,0
ANZ,2378,0
2378,ANZ,0
ANZ,2379,0
2379,ANZ,0
ANZ,2380,0
2380,ANZ,0
ANZ,2381,0
2381,ANZ,0
ANZ,2382,0
2382,ANZ,0
ANZ,2383,0
2383,ANZ,0
ANZ,2384,0
2384,ANZ,0
ANZ,2385,0
2385,ANZ,0
ANZ,2386,0
2386,ANZ,0
ANZ,2387,0
2387,ANZ,0
ANZ,2388,0
2388,ANZ,0
ANZ,2389,0
2389,ANZ,0
ANZ,2390,0
2390,ANZ,0
ANZ,2391,0
2391,ANZ,0
ANZ,2392,0
2392,ANZ,0
ANZ,2393,0
2393,ANZ,0
ANZ,2394,0
2394,ANZ,0
ANZ,2395,0
2395,ANZ,0
ANZ,2396,0
2396,ANZ,0
ANZ,2397,0
2397,ANZ,0
ANZ,2398,0
2398,ANZ,0
ANZ,2399,0
2399,ANZ,0
ANZ,2400,0
2400,ANZ,0
ANZ,2401,0
2401,ANZ,0
ANZ,2402,0
2402,ANZ,0
ANZ,2403,0
2403,ANZ,0
ANZ,2404,0
2404,ANZ,0
ANZ,2405,0
2405,ANZ,0
ANZ,2406,0
2406,ANZ,0
ANZ,2407,0
2407,ANZ,0
ANZ,2408,0
2408,ANZ,0
ANZ,2409,0
2409,ANZ,0
ANZ,2410,0
2410,ANZ,0
ANZ,2411,0
2411,ANZ,0
ANZ,2412,0
2412,ANZ,0
ANZ,2413,0
2413,ANZ,0
ANZ,2414,0
2414,ANZ,0
ANZ,2415,0
2415,ANZ,0
ANZ,2416,0
2416,ANZ,0
ANZ,2417,0
2417,ANZ,0
ANZ,2418,0
2418,ANZ,0
ANZ,2419,0
2419,ANZ,0
ANZ,2420,0
2420,ANZ,0
ANZ,2421,0
2421,ANZ,0
ANZ,2422,0
2422,ANZ,0
ANZ,2423,0
2423,ANZ,0
ANZ,2424,0
2424,ANZ,0
ANZ,2425,0
2425,ANZ,0
ANZ,2426,0
2426,ANZ,0
ANZ,2427,0
2427,ANZ,0
ANZ,2428,0
2428,ANZ,0
ANZ,2429,0
2429,ANZ,0
ANZ,2430,0
2430,ANZ,0
ANZ,2431,0
2431,ANZ,0
ANZ,2432,0
2432,ANZ,0
ANZ,2433,0
2433,ANZ,0
ANZ,2434,0
2434,ANZ,0
ANZ,2435,0
2435,ANZ,0
ANZ,2436,0
2436,ANZ,0
ANZ,2437,0
2437,ANZ,0
ANZ,2438,0
2438,ANZ,0
ANZ,2439,0
2439,ANZ,0
ANZ,2440,0
2440,ANZ,0
ANZ,2441,0
2441,ANZ,0
ANZ,2442,0
2442,ANZ,0
ANZ,2443,0
2443,ANZ,0
ANZ,2444,0
2444,ANZ,0
ANZ,2445,0
2445,ANZ,0
ANZ,2446,0
2446,ANZ,0
ANZ,2447,0
2447,ANZ,0
ANZ,2448,0
2448,ANZ,0
ANZ,2449,0
2449,ANZ,0
ANZ,2450,0
2450,ANZ,0
ANZ,2451,0
2451,ANZ,0
ANZ,2452,0
2452,ANZ,0
ANZ,2453,0
2453,ANZ,0
ANZ,2454,0
2454,ANZ,0
ANZ,2455,0
2455,ANZ,0
ANZ,2456,0
2456,ANZ,0
ANZ,2457,0
2457,ANZ,0
ANZ,2458,0
2458,ANZ,0
ANZ,2459,0
2459,ANZ,0
ANZ,2460,0
2460,ANZ,0
ANZ,2461,0
2461,ANZ,0
ANZ,2462,0
2462,ANZ,0
ANZ,2463,0
2463,ANZ,0
ANZ,2464,0
2464,ANZ,0
ANZ,2465,0
2465,ANZ,0
ANZ,2466,0
2466,ANZ,0
ANZ,2467,0
2467,ANZ,0
ANZ,2468,0
2468,ANZ,0
ANZ,2469,0
2469,ANZ,0
ANZ,2470,0
2470,ANZ,0
ANZ,2471,0
2471,ANZ,0
ANZ,2472,0
2472,ANZ,0
ANZ,2473,0
2473,ANZ,0
ANZ,2474,0
2474,ANZ,0
ANZ,2475,0
2475,ANZ,0
ANZ,2476,0
2476,ANZ,0
ANZ,2477,0
2477,ANZ,0
ANZ,2478,0
2478,ANZ,0
ANZ,2479,0
2479,ANZ,0
ANZ,2480,0
2480,ANZ,0
ANZ,2481,0
2481,ANZ,0
ANZ,2482,0
2482,ANZ,0
ANZ,2483,0
2483,ANZ,0
ANZ,2484,0
2484,ANZ,0
ANZ,2485,0
2485,ANZ,0
ANZ,2486,0
2486,ANZ,0
ANZ,2487,0
2487,ANZ,0
ANZ,2488,0
2488,ANZ,0
ANZ,2489,0
2489,ANZ,0
ANZ,2490,0
2490,ANZ,0
ANZ,2491,0
2491,ANZ,0
ANZ,2492,0
2492,ANZ,0
ANZ,2493,0
2493,ANZ,0
ANZ,2494,0
2494,ANZ,0
ANZ,2495,0
2495,ANZ,0
ANZ,2496,0
2496,ANZ,0
ANZ,2497,0
2497,ANZ,0
ANZ,2498,0
2498,ANZ,0
ANZ,2499,0
2499,ANZ,0
ANZ,2500,0
2500,ANZ,0
ANZ,2501,0
