Timestep,Region,ch4em
2450,LAM,186.2
LAM,2451,186.2
2451,LAM,186.2
LAM,2452,186.2
2452,LAM,186.2
LAM,2453,186.2
2453,LAM,186.2
LAM,2454,186.2
2454,LAM,186.2
LAM,2455,186.2
2455,LAM,186.2
LAM,2456,186.2
2456,LAM,186.2
LAM,2457,186.2
2457,LAM,186.2
LAM,2458,186.2
2458,LAM,186.2
LAM,2459,186.2
2459,LAM,186.2
LAM,2460,186.2
2460,LAM,186.2
LAM,2461,186.2
2461,LAM,186.2
LAM,2462,186.2
2462,LAM,186.2
LAM,2463,186.2
2463,LAM,186.2
LAM,2464,186.2
2464,LAM,186.2
LAM,2465,186.2
2465,LAM,186.2
LAM,2466,186.2
2466,LAM,186.2
LAM,2467,186.2
2467,LAM,186.2
LAM,2468,186.2
2468,LAM,186.2
LAM,2469,186.2
2469,LAM,186.2
LAM,2470,186.2
2470,LAM,186.2
LAM,2471,186.2
2471,LAM,186.2
LAM,2472,186.2
2472,LAM,186.2
LAM,2473,186.2
2473,LAM,186.2
LAM,2474,186.2
2474,LAM,186.2
LAM,2475,186.2
2475,LAM,186.2
LAM,2476,186.2
2476,LAM,186.2
LAM,2477,186.2
2477,LAM,186.2
LAM,2478,186.2
2478,LAM,186.2
LAM,2479,186.2
2479,LAM,186.2
LAM,2480,186.2
2480,LAM,186.2
LAM,2481,186.2
2481,LAM,186.2
LAM,2482,186.2
2482,LAM,186.2
LAM,2483,186.2
2483,LAM,186.2
LAM,2484,186.2
2484,LAM,186.2
LAM,2485,186.2
2485,LAM,186.2
LAM,2486,186.2
2486,LAM,186.2
LAM,2487,186.2
2487,LAM,186.2
LAM,2488,186.2
2488,LAM,186.2
LAM,2489,186.2
2489,LAM,186.2
LAM,2490,186.2
2490,LAM,186.2
LAM,2491,186.2
2491,LAM,186.2
LAM,2492,186.2
2492,LAM,186.2
LAM,2493,186.2
2493,LAM,186.2
LAM,2494,186.2
2494,LAM,186.2
LAM,2495,186.2
2495,LAM,186.2
LAM,2496,186.2
2496,LAM,186.2
LAM,2497,186.2
2497,LAM,186.2
LAM,2498,186.2
2498,LAM,186.2
LAM,2499,186.2
2499,LAM,186.2
LAM,2500,186.2
2500,LAM,186.2
LAM,2501,186.2
2501,LAM,186.2
LAM,2502,186.2
2502,LAM,186.2
LAM,2503,186.2
2503,LAM,186.2
LAM,2504,186.2
2504,LAM,186.2
LAM,2505,186.2
2505,LAM,186.2
LAM,2506,186.2
2506,LAM,186.2
LAM,2507,186.2
2507,LAM,186.2
LAM,2508,186.2
2508,LAM,186.2
LAM,2509,186.2
2509,LAM,186.2
LAM,2510,186.2
2510,LAM,186.2
LAM,2511,186.2
2511,LAM,186.2
LAM,2512,186.2
2512,LAM,186.2
LAM,2513,186.2
2513,LAM,186.2
LAM,2514,186.2
2514,LAM,186.2
LAM,2515,186.2
2515,LAM,186.2
LAM,2516,186.2
2516,LAM,186.2
LAM,2517,186.2
2517,LAM,186.2
LAM,2518,186.2
2518,LAM,186.2
LAM,2519,186.2
2519,LAM,186.2
LAM,2520,186.2
2520,LAM,186.2
LAM,2521,186.2
2521,LAM,186.2
LAM,2522,186.2
2522,LAM,186.2
LAM,2523,186.2
2523,LAM,186.2
LAM,2524,186.2
2524,LAM,186.2
LAM,2525,186.2
2525,LAM,186.2
LAM,2526,186.2
2526,LAM,186.2
LAM,2527,186.2
2527,LAM,186.2
LAM,2528,186.2
2528,LAM,186.2
LAM,2529,186.2
2529,LAM,186.2
LAM,2530,186.2
2530,LAM,186.2
LAM,2531,186.2
2531,LAM,186.2
LAM,2532,186.2
2532,LAM,186.2
LAM,2533,186.2
2533,LAM,186.2
LAM,2534,186.2
2534,LAM,186.2
LAM,2535,186.2
2535,LAM,186.2
LAM,2536,186.2
2536,LAM,186.2
LAM,2537,186.2
2537,LAM,186.2
LAM,2538,186.2
2538,LAM,186.2
LAM,2539,186.2
2539,LAM,186.2
LAM,2540,186.2
2540,LAM,186.2
LAM,2541,186.2
2541,LAM,186.2
LAM,2542,186.2
2542,LAM,186.2
LAM,2543,186.2
2543,LAM,186.2
LAM,2544,186.2
2544,LAM,186.2
LAM,2545,186.2
2545,LAM,186.2
LAM,2546,186.2
2546,LAM,186.2
LAM,2547,186.2
2547,LAM,186.2
LAM,2548,186.2
2548,LAM,186.2
LAM,2549,186.2
2549,LAM,186.2
LAM,2550,186.2
2550,LAM,186.2
LAM,2551,186.2
2551,LAM,186.2
LAM,2552,186.2
2552,LAM,186.2
LAM,2553,186.2
2553,LAM,186.2
LAM,2554,186.2
2554,LAM,186.2
LAM,2555,186.2
2555,LAM,186.2
LAM,2556,186.2
2556,LAM,186.2
LAM,2557,186.2
2557,LAM,186.2
LAM,2558,186.2
2558,LAM,186.2
LAM,2559,186.2
2559,LAM,186.2
LAM,2560,186.2
2560,LAM,186.2
LAM,2561,186.2
2561,LAM,186.2
LAM,2562,186.2
2562,LAM,186.2
LAM,2563,186.2
2563,LAM,186.2
LAM,2564,186.2
2564,LAM,186.2
LAM,2565,186.2
2565,LAM,186.2
LAM,2566,186.2
2566,LAM,186.2
LAM,2567,186.2
2567,LAM,186.2
LAM,2568,186.2
2568,LAM,186.2
LAM,2569,186.2
2569,LAM,186.2
LAM,2570,186.2
2570,LAM,186.2
LAM,2571,186.2
2571,LAM,186.2
LAM,2572,186.2
2572,LAM,186.2
LAM,2573,186.2
2573,LAM,186.2
LAM,2574,186.2
2574,LAM,186.2
LAM,2575,186.2
2575,LAM,186.2
LAM,2576,186.2
2576,LAM,186.2
LAM,2577,186.2
2577,LAM,186.2
LAM,2578,186.2
2578,LAM,186.2
LAM,2579,186.2
2579,LAM,186.2
LAM,2580,186.2
2580,LAM,186.2
LAM,2581,186.2
2581,LAM,186.2
LAM,2582,186.2
2582,LAM,186.2
LAM,2583,186.2
2583,LAM,186.2
LAM,2584,186.2
2584,LAM,186.2
LAM,2585,186.2
2585,LAM,186.2
LAM,2586,186.2
2586,LAM,186.2
LAM,2587,186.2
2587,LAM,186.2
LAM,2588,186.2
2588,LAM,186.2
LAM,2589,186.2
2589,LAM,186.2
LAM,2590,186.2
2590,LAM,186.2
LAM,2591,186.2
2591,LAM,186.2
LAM,2592,186.2
2592,LAM,186.2
LAM,2593,186.2
2593,LAM,186.2
LAM,2594,186.2
2594,LAM,186.2
LAM,2595,186.2
2595,LAM,186.2
LAM,2596,186.2
2596,LAM,186.2
LAM,2597,186.2
2597,LAM,186.2
LAM,2598,186.2
2598,LAM,186.2
LAM,2599,186.2
2599,LAM,186.2
LAM,2600,186.2
2600,LAM,186.2
LAM,2601,186.2
2601,LAM,186.2
LAM,2602,186.2
2602,LAM,186.2
LAM,2603,186.2
2603,LAM,186.2
LAM,2604,186.2
2604,LAM,186.2
LAM,2605,186.2
2605,LAM,186.2
LAM,2606,186.2
2606,LAM,186.2
LAM,2607,186.2
2607,LAM,186.2
LAM,2608,186.2
2608,LAM,186.2
LAM,2609,186.2
2609,LAM,186.2
LAM,2610,186.2
2610,LAM,186.2
LAM,2611,186.2
2611,LAM,186.2
LAM,2612,186.2
2612,LAM,186.2
LAM,2613,186.2
2613,LAM,186.2
LAM,2614,186.2
2614,LAM,186.2
LAM,2615,186.2
2615,LAM,186.2
LAM,2616,186.2
2616,LAM,186.2
LAM,2617,186.2
2617,LAM,186.2
LAM,2618,186.2
2618,LAM,186.2
LAM,2619,186.2
2619,LAM,186.2
LAM,2620,186.2
2620,LAM,186.2
LAM,2621,186.2
2621,LAM,186.2
LAM,2622,186.2
2622,LAM,186.2
LAM,2623,186.2
2623,LAM,186.2
LAM,2624,186.2
2624,LAM,186.2
LAM,2625,186.2
2625,LAM,186.2
LAM,2626,186.2
2626,LAM,186.2
LAM,2627,186.2
2627,LAM,186.2
LAM,2628,186.2
2628,LAM,186.2
LAM,2629,186.2
2629,LAM,186.2
LAM,2630,186.2
2630,LAM,186.2
LAM,2631,186.2
2631,LAM,186.2
LAM,2632,186.2
2632,LAM,186.2
LAM,2633,186.2
2633,LAM,186.2
LAM,2634,186.2
2634,LAM,186.2
LAM,2635,186.2
2635,LAM,186.2
LAM,2636,186.2
2636,LAM,186.2
LAM,2637,186.2
2637,LAM,186.2
LAM,2638,186.2
2638,LAM,186.2
LAM,2639,186.2
2639,LAM,186.2
LAM,2640,186.2
2640,LAM,186.2
LAM,2641,186.2
2641,LAM,186.2
LAM,2642,186.2
2642,LAM,186.2
LAM,2643,186.2
2643,LAM,186.2
LAM,2644,186.2
2644,LAM,186.2
LAM,2645,186.2
2645,LAM,186.2
LAM,2646,186.2
2646,LAM,186.2
LAM,2647,186.2
2647,LAM,186.2
LAM,2648,186.2
2648,LAM,186.2
LAM,2649,186.2
2649,LAM,186.2
LAM,2650,186.2
2650,LAM,186.2
LAM,2651,186.2
2651,LAM,186.2
LAM,2652,186.2
2652,LAM,186.2
LAM,2653,186.2
2653,LAM,186.2
LAM,2654,186.2
2654,LAM,186.2
LAM,2655,186.2
2655,LAM,186.2
LAM,2656,186.2
2656,LAM,186.2
LAM,2657,186.2
2657,LAM,186.2
LAM,2658,186.2
2658,LAM,186.2
LAM,2659,186.2
2659,LAM,186.2
LAM,2660,186.2
2660,LAM,186.2
LAM,2661,186.2
2661,LAM,186.2
LAM,2662,186.2
2662,LAM,186.2
LAM,2663,186.2
2663,LAM,186.2
LAM,2664,186.2
2664,LAM,186.2
LAM,2665,186.2
2665,LAM,186.2
LAM,2666,186.2
2666,LAM,186.2
LAM,2667,186.2
2667,LAM,186.2
LAM,2668,186.2
2668,LAM,186.2
LAM,2669,186.2
2669,LAM,186.2
LAM,2670,186.2
2670,LAM,186.2
LAM,2671,186.2
2671,LAM,186.2
LAM,2672,186.2
2672,LAM,186.2
LAM,2673,186.2
2673,LAM,186.2
LAM,2674,186.2
2674,LAM,186.2
LAM,2675,186.2
2675,LAM,186.2
LAM,2676,186.2
2676,LAM,186.2
LAM,2677,186.2
2677,LAM,186.2
LAM,2678,186.2
2678,LAM,186.2
LAM,2679,186.2
2679,LAM,186.2
LAM,2680,186.2
2680,LAM,186.2
LAM,2681,186.2
2681,LAM,186.2
LAM,2682,186.2
2682,LAM,186.2
LAM,2683,186.2
2683,LAM,186.2
LAM,2684,186.2
2684,LAM,186.2
LAM,2685,186.2
2685,LAM,186.2
LAM,2686,186.2
2686,LAM,186.2
LAM,2687,186.2
2687,LAM,186.2
LAM,2688,186.2
2688,LAM,186.2
LAM,2689,186.2
2689,LAM,186.2
LAM,2690,186.2
2690,LAM,186.2
LAM,2691,186.2
2691,LAM,186.2
LAM,2692,186.2
2692,LAM,186.2
LAM,2693,186.2
2693,LAM,186.2
LAM,2694,186.2
2694,LAM,186.2
LAM,2695,186.2
2695,LAM,186.2
LAM,2696,186.2
2696,LAM,186.2
LAM,2697,186.2
2697,LAM,186.2
LAM,2698,186.2
2698,LAM,186.2
LAM,2699,186.2
2699,LAM,186.2
LAM,2700,186.2
2700,LAM,186.2
LAM,2701,186.2
2701,LAM,186.2
LAM,2702,186.2
2702,LAM,186.2
LAM,2703,186.2
2703,LAM,186.2
LAM,2704,186.2
2704,LAM,186.2
LAM,2705,186.2
2705,LAM,186.2
LAM,2706,186.2
2706,LAM,186.2
LAM,2707,186.2
2707,LAM,186.2
LAM,2708,186.2
2708,LAM,186.2
LAM,2709,186.2
2709,LAM,186.2
LAM,2710,186.2
2710,LAM,186.2
LAM,2711,186.2
2711,LAM,186.2
LAM,2712,186.2
2712,LAM,186.2
LAM,2713,186.2
2713,LAM,186.2
LAM,2714,186.2
2714,LAM,186.2
LAM,2715,186.2
2715,LAM,186.2
LAM,2716,186.2
2716,LAM,186.2
LAM,2717,186.2
2717,LAM,186.2
LAM,2718,186.2
2718,LAM,186.2
LAM,2719,186.2
2719,LAM,186.2
LAM,2720,186.2
2720,LAM,186.2
LAM,2721,186.2
2721,LAM,186.2
LAM,2722,186.2
2722,LAM,186.2
LAM,2723,186.2
2723,LAM,186.2
LAM,2724,186.2
2724,LAM,186.2
LAM,2725,186.2
2725,LAM,186.2
LAM,2726,186.2
2726,LAM,186.2
LAM,2727,186.2
2727,LAM,186.2
LAM,2728,186.2
2728,LAM,186.2
LAM,2729,186.2
2729,LAM,186.2
LAM,2730,186.2
2730,LAM,186.2
LAM,2731,186.2
2731,LAM,186.2
LAM,2732,186.2
2732,LAM,186.2
LAM,2733,186.2
2733,LAM,186.2
LAM,2734,186.2
2734,LAM,186.2
LAM,2735,186.2
2735,LAM,186.2
LAM,2736,186.2
2736,LAM,186.2
LAM,2737,186.2
2737,LAM,186.2
LAM,2738,186.2
2738,LAM,186.2
LAM,2739,186.2
2739,LAM,186.2
LAM,2740,186.2
2740,LAM,186.2
LAM,2741,186.2
2741,LAM,186.2
LAM,2742,186.2
2742,LAM,186.2
LAM,2743,186.2
2743,LAM,186.2
LAM,2744,186.2
2744,LAM,186.2
LAM,2745,186.2
2745,LAM,186.2
LAM,2746,186.2
2746,LAM,186.2
LAM,2747,186.2
2747,LAM,186.2
LAM,2748,186.2
2748,LAM,186.2
LAM,2749,186.2
2749,LAM,186.2
LAM,2750,186.2
2750,LAM,186.2
LAM,2751,186.2
2751,LAM,186.2
LAM,2752,186.2
2752,LAM,186.2
LAM,2753,186.2
2753,LAM,186.2
LAM,2754,186.2
2754,LAM,186.2
LAM,2755,186.2
2755,LAM,186.2
LAM,2756,186.2
2756,LAM,186.2
LAM,2757,186.2
2757,LAM,186.2
LAM,2758,186.2
2758,LAM,186.2
LAM,2759,186.2
2759,LAM,186.2
LAM,2760,186.2
2760,LAM,186.2
LAM,2761,186.2
2761,LAM,186.2
LAM,2762,186.2
2762,LAM,186.2
LAM,2763,186.2
2763,LAM,186.2
LAM,2764,186.2
2764,LAM,186.2
LAM,2765,186.2
2765,LAM,186.2
LAM,2766,186.2
2766,LAM,186.2
LAM,2767,186.2
2767,LAM,186.2
LAM,2768,186.2
2768,LAM,186.2
LAM,2769,186.2
2769,LAM,186.2
LAM,2770,186.2
2770,LAM,186.2
LAM,2771,186.2
2771,LAM,186.2
LAM,2772,186.2
2772,LAM,186.2
LAM,2773,186.2
2773,LAM,186.2
LAM,2774,186.2
2774,LAM,186.2
LAM,2775,186.2
2775,LAM,186.2
LAM,2776,186.2
2776,LAM,186.2
LAM,2777,186.2
2777,LAM,186.2
LAM,2778,186.2
2778,LAM,186.2
LAM,2779,186.2
2779,LAM,186.2
LAM,2780,186.2
2780,LAM,186.2
LAM,2781,186.2
2781,LAM,186.2
LAM,2782,186.2
2782,LAM,186.2
LAM,2783,186.2
2783,LAM,186.2
LAM,2784,186.2
2784,LAM,186.2
LAM,2785,186.2
2785,LAM,186.2
LAM,2786,186.2
2786,LAM,186.2
LAM,2787,186.2
2787,LAM,186.2
LAM,2788,186.2
2788,LAM,186.2
LAM,2789,186.2
2789,LAM,186.2
LAM,2790,186.2
2790,LAM,186.2
LAM,2791,186.2
2791,LAM,186.2
LAM,2792,186.2
2792,LAM,186.2
LAM,2793,186.2
2793,LAM,186.2
LAM,2794,186.2
2794,LAM,186.2
LAM,2795,186.2
2795,LAM,186.2
LAM,2796,186.2
2796,LAM,186.2
LAM,2797,186.2
2797,LAM,186.2
LAM,2798,186.2
2798,LAM,186.2
LAM,2799,186.2
2799,LAM,186.2
LAM,2800,186.2
2800,LAM,186.2
LAM,2801,186.2
2801,LAM,186.2
LAM,2802,186.2
2802,LAM,186.2
LAM,2803,186.2
2803,LAM,186.2
LAM,2804,186.2
2804,LAM,186.2
LAM,2805,186.2
2805,LAM,186.2
LAM,2806,186.2
2806,LAM,186.2
LAM,2807,186.2
2807,LAM,186.2
LAM,2808,186.2
2808,LAM,186.2
LAM,2809,186.2
2809,LAM,186.2
LAM,2810,186.2
2810,LAM,186.2
LAM,2811,186.2
2811,LAM,186.2
LAM,2812,186.2
2812,LAM,186.2
LAM,2813,186.2
2813,LAM,186.2
LAM,2814,186.2
2814,LAM,186.2
LAM,2815,186.2
2815,LAM,186.2
LAM,2816,186.2
2816,LAM,186.2
LAM,2817,186.2
2817,LAM,186.2
LAM,2818,186.2
2818,LAM,186.2
LAM,2819,186.2
2819,LAM,186.2
LAM,2820,186.2
2820,LAM,186.2
LAM,2821,186.2
2821,LAM,186.2
LAM,2822,186.2
2822,LAM,186.2
LAM,2823,186.2
2823,LAM,186.2
LAM,2824,186.2
2824,LAM,186.2
LAM,2825,186.2
2825,LAM,186.2
LAM,2826,186.2
2826,LAM,186.2
LAM,2827,186.2
2827,LAM,186.2
LAM,2828,186.2
2828,LAM,186.2
LAM,2829,186.2
2829,LAM,186.2
LAM,2830,186.2
2830,LAM,186.2
LAM,2831,186.2
2831,LAM,186.2
LAM,2832,186.2
2832,LAM,186.2
LAM,2833,186.2
2833,LAM,186.2
LAM,2834,186.2
2834,LAM,186.2
LAM,2835,186.2
2835,LAM,186.2
LAM,2836,186.2
2836,LAM,186.2
LAM,2837,186.2
2837,LAM,186.2
LAM,2838,186.2
2838,LAM,186.2
LAM,2839,186.2
2839,LAM,186.2
LAM,2840,186.2
2840,LAM,186.2
LAM,2841,186.2
2841,LAM,186.2
LAM,2842,186.2
2842,LAM,186.2
LAM,2843,186.2
2843,LAM,186.2
LAM,2844,186.2
2844,LAM,186.2
LAM,2845,186.2
2845,LAM,186.2
LAM,2846,186.2
2846,LAM,186.2
LAM,2847,186.2
2847,LAM,186.2
LAM,2848,186.2
2848,LAM,186.2
LAM,2849,186.2
2849,LAM,186.2
LAM,2850,186.2
2850,LAM,186.2
LAM,2851,186.2
2851,LAM,186.2
LAM,2852,186.2
2852,LAM,186.2
LAM,2853,186.2
2853,LAM,186.2
LAM,2854,186.2
2854,LAM,186.2
LAM,2855,186.2
2855,LAM,186.2
LAM,2856,186.2
2856,LAM,186.2
LAM,2857,186.2
2857,LAM,186.2
LAM,2858,186.2
2858,LAM,186.2
LAM,2859,186.2
2859,LAM,186.2
LAM,2860,186.2
2860,LAM,186.2
LAM,2861,186.2
2861,LAM,186.2
LAM,2862,186.2
2862,LAM,186.2
LAM,2863,186.2
2863,LAM,186.2
LAM,2864,186.2
2864,LAM,186.2
LAM,2865,186.2
2865,LAM,186.2
LAM,2866,186.2
2866,LAM,186.2
LAM,2867,186.2
2867,LAM,186.2
LAM,2868,186.2
2868,LAM,186.2
LAM,2869,186.2
2869,LAM,186.2
LAM,2870,186.2
2870,LAM,186.2
LAM,2871,186.2
2871,LAM,186.2
LAM,2872,186.2
2872,LAM,186.2
LAM,2873,186.2
2873,LAM,186.2
LAM,2874,186.2
2874,LAM,186.2
LAM,2875,186.2
2875,LAM,186.2
LAM,2876,186.2
2876,LAM,186.2
LAM,2877,186.2
2877,LAM,186.2
LAM,2878,186.2
2878,LAM,186.2
LAM,2879,186.2
2879,LAM,186.2
LAM,2880,186.2
2880,LAM,186.2
LAM,2881,186.2
2881,LAM,186.2
LAM,2882,186.2
2882,LAM,186.2
LAM,2883,186.2
2883,LAM,186.2
LAM,2884,186.2
2884,LAM,186.2
LAM,2885,186.2
2885,LAM,186.2
LAM,2886,186.2
2886,LAM,186.2
LAM,2887,186.2
2887,LAM,186.2
LAM,2888,186.2
2888,LAM,186.2
LAM,2889,186.2
2889,LAM,186.2
LAM,2890,186.2
2890,LAM,186.2
LAM,2891,186.2
2891,LAM,186.2
LAM,2892,186.2
2892,LAM,186.2
LAM,2893,186.2
2893,LAM,186.2
LAM,2894,186.2
2894,LAM,186.2
LAM,2895,186.2
2895,LAM,186.2
LAM,2896,186.2
2896,LAM,186.2
LAM,2897,186.2
2897,LAM,186.2
LAM,2898,186.2
2898,LAM,186.2
LAM,2899,186.2
2899,LAM,186.2
LAM,2900,186.2
2900,LAM,186.2
LAM,2901,186.2
2901,LAM,186.2
LAM,2902,186.2
2902,LAM,186.2
LAM,2903,186.2
2903,LAM,186.2
LAM,2904,186.2
2904,LAM,186.2
LAM,2905,186.2
2905,LAM,186.2
LAM,2906,186.2
2906,LAM,186.2
LAM,2907,186.2
2907,LAM,186.2
LAM,2908,186.2
2908,LAM,186.2
LAM,2909,186.2
2909,LAM,186.2
LAM,2910,186.2
2910,LAM,186.2
LAM,2911,186.2
2911,LAM,186.2
LAM,2912,186.2
2912,LAM,186.2
LAM,2913,186.2
2913,LAM,186.2
LAM,2914,186.2
2914,LAM,186.2
LAM,2915,186.2
2915,LAM,186.2
LAM,2916,186.2
2916,LAM,186.2
LAM,2917,186.2
2917,LAM,186.2
LAM,2918,186.2
2918,LAM,186.2
LAM,2919,186.2
2919,LAM,186.2
LAM,2920,186.2
2920,LAM,186.2
LAM,2921,186.2
2921,LAM,186.2
LAM,2922,186.2
2922,LAM,186.2
LAM,2923,186.2
2923,LAM,186.2
LAM,2924,186.2
2924,LAM,186.2
LAM,2925,186.2
2925,LAM,186.2
LAM,2926,186.2
2926,LAM,186.2
LAM,2927,186.2
2927,LAM,186.2
LAM,2928,186.2
2928,LAM,186.2
LAM,2929,186.2
2929,LAM,186.2
LAM,2930,186.2
2930,LAM,186.2
LAM,2931,186.2
2931,LAM,186.2
LAM,2932,186.2
2932,LAM,186.2
LAM,2933,186.2
2933,LAM,186.2
LAM,2934,186.2
2934,LAM,186.2
LAM,2935,186.2
2935,LAM,186.2
LAM,2936,186.2
2936,LAM,186.2
LAM,2937,186.2
2937,LAM,186.2
LAM,2938,186.2
2938,LAM,186.2
LAM,2939,186.2
2939,LAM,186.2
LAM,2940,186.2
2940,LAM,186.2
LAM,2941,186.2
2941,LAM,186.2
LAM,2942,186.2
2942,LAM,186.2
LAM,2943,186.2
2943,LAM,186.2
LAM,2944,186.2
2944,LAM,186.2
LAM,2945,186.2
2945,LAM,186.2
LAM,2946,186.2
2946,LAM,186.2
LAM,2947,186.2
2947,LAM,186.2
LAM,2948,186.2
2948,LAM,186.2
LAM,2949,186.2
2949,LAM,186.2
LAM,2950,186.2
2950,LAM,186.2
LAM,2951,186.2
2951,LAM,186.2
LAM,2952,186.2
2952,LAM,186.2
LAM,2953,186.2
2953,LAM,186.2
LAM,2954,186.2
2954,LAM,186.2
LAM,2955,186.2
2955,LAM,186.2
LAM,2956,186.2
2956,LAM,186.2
LAM,2957,186.2
2957,LAM,186.2
LAM,2958,186.2
2958,LAM,186.2
LAM,2959,186.2
2959,LAM,186.2
LAM,2960,186.2
2960,LAM,186.2
LAM,2961,186.2
2961,LAM,186.2
LAM,2962,186.2
2962,LAM,186.2
LAM,2963,186.2
2963,LAM,186.2
LAM,2964,186.2
2964,LAM,186.2
LAM,2965,186.2
2965,LAM,186.2
LAM,2966,186.2
2966,LAM,186.2
LAM,2967,186.2
2967,LAM,186.2
LAM,2968,186.2
2968,LAM,186.2
LAM,2969,186.2
2969,LAM,186.2
LAM,2970,186.2
2970,LAM,186.2
LAM,2971,186.2
2971,LAM,186.2
LAM,2972,186.2
2972,LAM,186.2
LAM,2973,186.2
2973,LAM,186.2
LAM,2974,186.2
2974,LAM,186.2
LAM,2975,186.2
2975,LAM,186.2
LAM,2976,186.2
2976,LAM,186.2
LAM,2977,186.2
2977,LAM,186.2
LAM,2978,186.2
2978,LAM,186.2
LAM,2979,186.2
2979,LAM,186.2
LAM,2980,186.2
2980,LAM,186.2
LAM,2981,186.2
2981,LAM,186.2
LAM,2982,186.2
2982,LAM,186.2
LAM,2983,186.2
2983,LAM,186.2
LAM,2984,186.2
2984,LAM,186.2
LAM,2985,186.2
2985,LAM,186.2
LAM,2986,186.2
2986,LAM,186.2
LAM,2987,186.2
2987,LAM,186.2
LAM,2988,186.2
2988,LAM,186.2
LAM,2989,186.2
2989,LAM,186.2
LAM,2990,186.2
2990,LAM,186.2
LAM,2991,186.2
2991,LAM,186.2
LAM,2992,186.2
2992,LAM,186.2
LAM,2993,186.2
2993,LAM,186.2
LAM,2994,186.2
2994,LAM,186.2
LAM,2995,186.2
2995,LAM,186.2
LAM,2996,186.2
2996,LAM,186.2
LAM,2997,186.2
2997,LAM,186.2
LAM,2998,186.2
2998,LAM,186.2
LAM,2999,186.2
2999,LAM,186.2
LAM,3000,186.2
3000,LAM,186.2
SAS,1950,16.8
1950,SAS,16.8
SAS,1951,16.9
1951,SAS,16.9
SAS,1952,17.1
1952,SAS,17.1
SAS,1953,17.2
1953,SAS,17.2
SAS,1954,17.3
1954,SAS,17.3
SAS,1955,17.5
1955,SAS,17.5
SAS,1956,17.6
1956,SAS,17.6
SAS,1957,17.8
1957,SAS,17.8
SAS,1958,17.9
1958,SAS,17.9
SAS,1959,18.1
1959,SAS,18.1
SAS,1960,21.4
1960,SAS,21.4
SAS,1961,21.9
1961,SAS,21.9
SAS,1962,22.3
1962,SAS,22.3
SAS,1963,22.7
1963,SAS,22.7
SAS,1964,23.1
1964,SAS,23.1
SAS,1965,23.6
1965,SAS,23.6
SAS,1966,24
1966,SAS,24
SAS,1967,24.4
1967,SAS,24.4
SAS,1968,24.9
1968,SAS,24.9
SAS,1969,25.3
1969,SAS,25.3
SAS,1970,25.7
1970,SAS,25.7
SAS,1971,26.1
1971,SAS,26.1
SAS,1972,26.5
1972,SAS,26.5
SAS,1973,27
1973,SAS,27
SAS,1974,27.4
1974,SAS,27.4
SAS,1975,27.8
1975,SAS,27.8
SAS,1976,28.2
1976,SAS,28.2
SAS,1977,28.7
1977,SAS,28.7
SAS,1978,29.1
1978,SAS,29.1
SAS,1979,29.5
1979,SAS,29.5
SAS,1980,30
1980,SAS,30
SAS,1981,30.5
1981,SAS,30.5
SAS,1982,30.9
1982,SAS,30.9
SAS,1983,31.3
1983,SAS,31.3
SAS,1984,31.7
1984,SAS,31.7
SAS,1985,32.2
1985,SAS,32.2
SAS,1986,32.6
1986,SAS,32.6
SAS,1987,33
1987,SAS,33
SAS,1988,33.5
1988,SAS,33.5
SAS,1989,33.9
1989,SAS,33.9
SAS,1990,34.2
1990,SAS,34.2
SAS,1991,33.7
1991,SAS,33.7
SAS,1992,33.2
1992,SAS,33.2
SAS,1993,32.6
1993,SAS,32.6
SAS,1994,32
1994,SAS,32
SAS,1995,31.4
1995,SAS,31.4
SAS,1996,30.8
1996,SAS,30.8
SAS,1997,30.2
1997,SAS,30.2
SAS,1998,29.5
1998,SAS,29.5
SAS,1999,28.9
1999,SAS,28.9
SAS,2000,28.2
2000,SAS,28.2
SAS,2001,28.8
2001,SAS,28.8
SAS,2002,29.4
2002,SAS,29.4
SAS,2003,30
2003,SAS,30
SAS,2004,30.6
2004,SAS,30.6
SAS,2005,31.3
2005,SAS,31.3
SAS,2006,31.9
2006,SAS,31.9
SAS,2007,32.3
2007,SAS,32.3
SAS,2008,32.8
2008,SAS,32.8
SAS,2009,33.2
2009,SAS,33.2
SAS,2010,33.5
2010,SAS,33.5
SAS,2011,34.1
2011,SAS,34.1
SAS,2012,34.6
2012,SAS,34.6
SAS,2013,35.2
2013,SAS,35.2
SAS,2014,35.7
2014,SAS,35.7
SAS,2015,36.2
2015,SAS,36.2
SAS,2016,36.8
2016,SAS,36.8
SAS,2017,37.2
2017,SAS,37.2
SAS,2018,37.6
2018,SAS,37.6
SAS,2019,38.1
2019,SAS,38.1
SAS,2020,38.3
2020,SAS,38.3
SAS,2021,38.9
2021,SAS,38.9
SAS,2022,39.5
2022,SAS,39.5
SAS,2023,40.1
2023,SAS,40.1
SAS,2024,40.6
2024,SAS,40.6
SAS,2025,41.2
2025,SAS,41.2
SAS,2026,41.8
2026,SAS,41.8
SAS,2027,42.4
2027,SAS,42.4
SAS,2028,43
2028,SAS,43
SAS,2029,43.6
2029,SAS,43.6
SAS,2030,44.3
2030,SAS,44.3
SAS,2031,44.9
2031,SAS,44.9
SAS,2032,45.4
2032,SAS,45.4
SAS,2033,46
2033,SAS,46
SAS,2034,46.5
2034,SAS,46.5
SAS,2035,47
2035,SAS,47
SAS,2036,47.6
