Timestep,Region,ch4em
2286,USA,108.3
USA,2287,108.6
2287,USA,108.6
USA,2288,109
2288,USA,109
USA,2289,109.3
2289,USA,109.3
USA,2290,109.6
2290,USA,109.6
USA,2291,110
2291,USA,110
USA,2292,110.3
2292,USA,110.3
USA,2293,110.6
2293,USA,110.6
USA,2294,111
2294,USA,111
USA,2295,111.3
2295,USA,111.3
USA,2296,111.6
2296,USA,111.6
USA,2297,112
2297,USA,112
USA,2298,112.3
2298,USA,112.3
USA,2299,112.6
2299,USA,112.6
USA,2300,113
2300,USA,113
USA,2301,113
2301,USA,113
USA,2302,113
2302,USA,113
USA,2303,113
2303,USA,113
USA,2304,113
2304,USA,113
USA,2305,113
2305,USA,113
USA,2306,113
2306,USA,113
USA,2307,113
2307,USA,113
USA,2308,113
2308,USA,113
USA,2309,113
2309,USA,113
USA,2310,113
2310,USA,113
USA,2311,113
2311,USA,113
USA,2312,113
2312,USA,113
USA,2313,113
2313,USA,113
USA,2314,113
2314,USA,113
USA,2315,113
2315,USA,113
USA,2316,113
2316,USA,113
USA,2317,113
2317,USA,113
USA,2318,113
2318,USA,113
USA,2319,113
2319,USA,113
USA,2320,113
2320,USA,113
USA,2321,113
2321,USA,113
USA,2322,113
2322,USA,113
USA,2323,113
2323,USA,113
USA,2324,113
2324,USA,113
USA,2325,113
2325,USA,113
USA,2326,113
2326,USA,113
USA,2327,113
2327,USA,113
USA,2328,113
2328,USA,113
USA,2329,113
2329,USA,113
USA,2330,113
2330,USA,113
USA,2331,113
2331,USA,113
USA,2332,113
2332,USA,113
USA,2333,113
2333,USA,113
USA,2334,113
2334,USA,113
USA,2335,113
2335,USA,113
USA,2336,113
2336,USA,113
USA,2337,113
2337,USA,113
USA,2338,113
2338,USA,113
USA,2339,113
2339,USA,113
USA,2340,113
2340,USA,113
USA,2341,113
2341,USA,113
USA,2342,113
2342,USA,113
USA,2343,113
2343,USA,113
USA,2344,113
2344,USA,113
USA,2345,113
2345,USA,113
USA,2346,113
2346,USA,113
USA,2347,113
2347,USA,113
USA,2348,113
2348,USA,113
USA,2349,113
2349,USA,113
USA,2350,113
2350,USA,113
USA,2351,113
2351,USA,113
USA,2352,113
2352,USA,113
USA,2353,113
2353,USA,113
USA,2354,113
2354,USA,113
USA,2355,113
2355,USA,113
USA,2356,113
2356,USA,113
USA,2357,113
2357,USA,113
USA,2358,113
2358,USA,113
USA,2359,113
2359,USA,113
USA,2360,113
2360,USA,113
USA,2361,113
2361,USA,113
USA,2362,113
2362,USA,113
USA,2363,113
2363,USA,113
USA,2364,113
2364,USA,113
USA,2365,113
2365,USA,113
USA,2366,113
2366,USA,113
USA,2367,113
2367,USA,113
USA,2368,113
2368,USA,113
USA,2369,113
2369,USA,113
USA,2370,113
2370,USA,113
USA,2371,113
2371,USA,113
USA,2372,113
2372,USA,113
USA,2373,113
2373,USA,113
USA,2374,113
2374,USA,113
USA,2375,113
2375,USA,113
USA,2376,113
2376,USA,113
USA,2377,113
2377,USA,113
USA,2378,113
2378,USA,113
USA,2379,113
2379,USA,113
USA,2380,113
2380,USA,113
USA,2381,113
2381,USA,113
USA,2382,113
2382,USA,113
USA,2383,113
2383,USA,113
USA,2384,113
2384,USA,113
USA,2385,113
2385,USA,113
USA,2386,113
2386,USA,113
USA,2387,113
2387,USA,113
USA,2388,113
2388,USA,113
USA,2389,113
2389,USA,113
USA,2390,113
2390,USA,113
USA,2391,113
2391,USA,113
USA,2392,113
2392,USA,113
USA,2393,113
2393,USA,113
USA,2394,113
2394,USA,113
USA,2395,113
2395,USA,113
USA,2396,113
2396,USA,113
USA,2397,113
2397,USA,113
USA,2398,113
2398,USA,113
USA,2399,113
2399,USA,113
USA,2400,113
2400,USA,113
USA,2401,113
2401,USA,113
USA,2402,113
2402,USA,113
USA,2403,113
2403,USA,113
USA,2404,113
2404,USA,113
USA,2405,113
2405,USA,113
USA,2406,113
2406,USA,113
USA,2407,113
2407,USA,113
USA,2408,113
2408,USA,113
USA,2409,113
2409,USA,113
USA,2410,113
2410,USA,113
USA,2411,113
2411,USA,113
USA,2412,113
2412,USA,113
USA,2413,113
2413,USA,113
USA,2414,113
2414,USA,113
USA,2415,113
2415,USA,113
USA,2416,113
2416,USA,113
USA,2417,113
2417,USA,113
USA,2418,113
2418,USA,113
USA,2419,113
2419,USA,113
USA,2420,113
2420,USA,113
USA,2421,113
2421,USA,113
USA,2422,113
2422,USA,113
USA,2423,113
2423,USA,113
USA,2424,113
2424,USA,113
USA,2425,113
2425,USA,113
